#separator:tab
#html:true
#guid column:1
#tags column:3
"B-N|kF-#aW"	(1) -(r)on; (2) -or	agental suffix (suf)	
"P*6y>wr1m#"	hithlain	mist thread, grey elvish rope (n)	
J!=;w7H/fi	hithui	misty (adj)	
x85vD?II3z	hithu	fog (n)	
KY/=&CcP_*	hoda-	to lay, stretch out, lay flat on ground (vb)	
P`?st5`3%$	hogren	lowly, humble, mean (adj)	
u-dTyio!*^	hol-	to close, shut (vb)	
jn$)M:`$]s	hollen	closed, shut (adj)	
wUnTS*gU_3	holl	cock, cockerel, rooster (n)	
O`dwITfd9|	hora-	to await, expect (vb)	
GgLPh=@Wo)	hosta-	to gather, collect (vb)	
JbBN*3)7f_	hothron	captain (n)	
Iy%-ON<<0.	hoth	host, horde, ⚠️[N.] crowd; group plural; [ᴱN.] folk, [G.] people; †army (n)	
"wKY#8/f;dx"	huan	great dog, hound (n)	
LVbzr6LH01	huar	wild dog (n)	
"I&pI#},a]"	huia-	to urge on (vb)	
k!&5!y*lA~	huil	(1) bitch, *female dog; (2) hen (n)	
HE?9E~T1n,	hunc	pig (n)	
tOL[geW}B8	huorn	?spirit tree (n)	
g5jG.D<PK+	hwand	sponge, fungus (n)	
pP43hGx$7R	hwegol	brush (n)	
y-(kSBbaa6	hwegra-	to sweep (vb)	
m%Cv_%bG3O	hweg	broom (n)	
fnCL@/3WGv	hwest	puff, breath, breeze (n)	
tyP(J,Al}<	hwiel	niece (n)	
Mu|./?j_)s	hwind	eddy (n)	
GE%@4LMyRB	hwinia-	to twirl, whirl, eddy (vb)	
f{aaA@bR*Q	hwiniol	whirling, giddy, mad, fantastic (adj)	
vRF%s9Fiys	hwinn	birch (n)	
qb87Q|%QN6	hwion	nephew (n)	
F1<EaFH&AQ	hwîn	giddyness, faintness (n)	
nt{niu/!m%	hên	child (n)	
d5;3$<=eE?	hída-	to (come to) pass, happen (vb)	
MLg<;GPq-|	híril	lady; ⚠️[G.] princess, †queen (n)	
Mkm`4@F4]S	hîl	heir (n)	
u,?MU,M^?|	hîr	lord, master (n)	
w^(V)c7sGt	hîth	mist (n)	
QhO>s6-l:8	húda-	to curse (vb)	
F`kOR`X%Zz	hû (Animals)	hound, [N.] dog; ⚠️S. ?heart (n)	
lr3N$6+6iH	hû (Religion and Beliefs)	spirit, shadow (n)	
QUTTD}qQ?Y	hûn	*heart (n)	
EsU5!+0[:8	i (article)	the (article)	
MX=BDTxhpy	i (pron)	who, that, [G.] indefinite indeclinable relative particle (pron)	
qV6Q.kDldQ	iach	ford (n)	
wua=+Z8Z|)	iaeda-	to mock, deride, make fun of, laugh at (vb)	
z%z1oJ~spF	iaewen	scornful (adj)	
q~YCuPgHh@	ialtha-	to yoke, ⚠️join (vb)	
JW>WL3y*}6	ialt	yoke (n)	
E8GmI{D|5P	iand	wide (adj)	
o&8%w$aFaV	ianna-	to join, connect (vb)	
D:^lodp^a@	iannen	joined, connected (adj)	
FQP,VGOm$8	iant	bridge (n)	
"G!,5sINT*#"	iaun	wide, extensive, large, roomy, vast, huge (adj)	
rrXnU*cAhO	iaur	old; [N.] ancient, olden (adj)	
M/<GQQ.IQW	iaust	crop, *yield, produce; ⚠️corn (n)	
"iER>,J#[:p"	iav-	to produce, yield, bear fruit (vb)	
y8,L9B_,fJ	iavas	autumn, *harvest (time) (n)	
"p/!1#dS!)Y"	iavren	fertile (adj)	
r4G1r`|{I:	iaw	when (conj)	
"v6W9x*Zz#C"	idhor	thoughtfulness (adj)	
"g#PtR=uC5M"	idhrinn	year, *(lit.) year-circle (n)	
qArqG)60-C	iesta- (Emotion)	to wish (vb)	
w%?03A2>b<	iesta- (Time)	to begin (vb)	
Pj0$$gVT{R	iestor	first day of the new year (n)	
"A)[2#ImsDX"	ifant	*aged (adj)	
lzZX%wpUHD	ilaurui	*daily (adj)	
uq=w;.E]=.	ilhad	everywhere (pron)	
N~Ep]|<+T/	illadui	general (adj)	
B<fAU@su$Z	illad	everything (n)	
F~jI(Rod/O	ilnad	everything (pron)	
KLXGE}/<V!	ilphen	everyone (pron)	
q}M+.wZ6qJ	ilu	universe, the whole, cosmos (n)	
bM*7Bf^z|k	il	*all (adj)	
wAQupZZ1k1	im (n)	valley; [N.] dell, deep vale (n)	
I!d&2X3ze%	im (prep)	between (prep)	
DUB4CZV=7=	im (pron)	I, I myself; reflexive, self(same) (pron)	
Lqap=D8/^N	imeneth	namesake, (lit.) same name (n)	
g2U*rbBez+	imladren	vale like, of the vale (adj)	
j4};6qc61_	imlad	deep valley, narrow valley with steep sides, gap, gully, [N.] dell, glen (n)	
"qKxM#%3)m["	imrad	path or pass between mountains or trackless forest, *(lit.) valley path (n)	
P^jP[?QY^c	imrath	long narrow valley with road or watercourse running through it lengthwise, *(lit.) valley course (n)	
JnptLSg*iH	indram	shock, (lit.) mind-blow (n)	
L>~%AeXZfT	ind	some particular purpose or intention of an individual; heart [metaphorical], [N.] inner thought, meaning (n)	
z{_g[FW@tT	innas	*will (n)	
Kz_hif$9(6	inn	some particular purpose or intention of an individual (n)	
H}M@Z2@Ks@	inu	female (adj n)	
k?g-C`f~!*	inwas	feminity, womanhood (n)	
cx`{YG(sYF	inwathren	feminine (adj)	
DswFlL,!4p	ion(n)	son, *boy (n)	
J_T7|F>w!9	iorbeth	archaism, archaic word (n)	
jHuKQRBQ30	iphant	[N.] aged, having lived long, (lit.) year-full (adj)	
CF[)qSRa}@	irdh	entrails, bowels, innards (n)	
MB|:t}bq~}	irn	desired, wished for (adj)	
eacF8ouKlH	irtha-	to peck (vb)	
sNVFdlJv5R	irth	beak (n)	
zcPW7,urxa	ir	?when, while (conj)	
d@I0!b~kx=	istanna-	to teach, lecture, explain, (lit.) give knowledge (vb)	
OtpJel|0a,	istoneth	teacher (f.), (lit.) knowledge giver (n)	
hu_+Xv!}*N	istonor	teacher (m.), (lit.) knowledge giver (n)	
Kn6=)v1-Td	ithildin	magical alloy that glows in moonlight, (lit.) moon-star (n)	
LFxEVBjTcX	ithron	Wizard (n)	
vuG3(tfQ(|	ivil	inside (n)	
yRR3Tlv(k5	iâd (Body Parts and Functions)	waist; isthmus (n)	
"qY[9#-HW?K"	iâf	fruit (n)	
tI1MO$=yY6	iâ	chasm, pit; void, abyss; [N.] gulf (n)	
i&mCSn^o^(	l(h)ô	flood, fenland; ⚠️[G.] pool, lake (n)	
fz;YRio71L	laba-	to hop (vb)	
An6gOIPq7!	laboth	hare, *rabbit (n)	
zc8OhB_<Ia	lacha-	to flame (vb)	
L/u@9PK-=l	lach	(leaping) flame (n)	
wZw0}*K2S{	lad (Physical World)	plain, ⚠️valley; [G.] a level, a flat; fair dealing (n)	
md_D*YKUBq	lad (Quantity and Number)	nothing, zero (n)	
Qd~u}fRfmm	lad-	to stretch, extend (in length) (vb)	
"x#53KZ$Sw"	laden	flat, wide, *level; [N.] open, cleared; [G.] fair, equitable; ⚠️[ᴱN.] smooth (adj)	
EDh,ru}T;$	ladog	tin [metal] (n)	
Ll0mGh)?Yp	lae-	to not be (vb)	
"I((pM8(5q#"	laeda-	to refresh, revive (vb)	
H^Xg,&ij]=	laed	colour, color (n)	
u<`C+az@X]	laegas	verdure, greenness (n)	
"dJ<f]3}#Bg"	laeglin(n)	greenfinch  (n)	
O^ZUuceGST	laeg	(1) green, viridis, green (of leaves/herbiage), fresh; (2) keen, sharp, acute (adj)	
"Na:6l.#vA7"	laer (Language and Music)	song (n)	
D0lDVcxu(Z	laer (Time)	summer (n)	
wc?2;N98xh	laes	babe (n)	
k|wbr|4$$L	laew (Quantity and Number)	frequent, many (adj)	
"LUYmucA#f|"	laew (Time)	fresh (adj)	
yS?gE1JKMQ	laeweth	freshness (n)	
P<nREPpltV	lae	great number (n)	
"B<]j#~&5;@"	lagor	swift, rapid (adj)	
HJf(<umfX:	laidh	horizontal, (lit.) lying flat (adj)	
t9>PY?W5?Q	lain (adj)	free(d), *liberated (adj)	
kz>jJx&uK.	lain (n)	thread, warp (n)	
fph.j(S@:o	lala-	to laugh (vb)	
H%9sXR@qUN	lalaith	laughter (n)	
x_Q/_/CHXQ	lallen	funny, amusing (adj)	
K=*EN*JOOB	lall	laugh (n)	
Nm7,wT~:LB	lalorn	elm-tree (n)	
y:lTT+DORs	laltha-	to amuse, make laugh (vb)	
PId[aS*4]|	lalweg	cheerful (adj)	
yx-_GhJ5q}	lam (Language and Music)	(physical) tongue; language, ⚠️[G.] speech (n)	
cv&jak|<R)	lam (Sense Perception)	echo (n)	
M|5)6@U!{1	lamel	phonetics (n)	
D~O/Xn7b[X	lamengolu	linguistics (n)	
Bi`]+K[?E3	lamma-	to echo (vb)	
vnPm];y2nU	lammad	*echoing (n)	
bw+R5p%>)@	lammen	of tongue, spoken with tongue (adj)	
xVePOO5j[V	lanad	weft, woof (n)	
u|h9U/y.vD	lanc (adj)	naked (adj)	
EjqAuYer_6	lanc (n)	sharp edge (not of tools), sudden end (n)	
J]*,zX,z`d	land	wide, broad; [N.] open space, level (adj)	
tJo6Urr;HO	lang (Body Parts and Functions)	passage; neck, *throat (n)	
ujFqJ/S*Q{	lang (Warfare and Hunting)	cutlass, sword (n)	
gr$V]y7=>@	langan(d)	stringed instrument with a neck (lute, guitar, etc.) (n)	
w8b$@{ICEE	lann (adj)	wide, broad (adj)	
P&(QL%lq:b	lann (n)	thin cloth, tissue (n)	
hd`%<JJGFK	lanthir	waterfall (n)	
FAX:|{F_-6	lant	clearing in the forest (n)	
zBbkq3q<DL	lanu	loom (n)	
n`:PQY4rYM	laph	loose-end, end of rope, hem of robe (n)	
klXitAvJTI	lasbelin	leaf-fall, autumn (n)	
gj*eyAnymf	lass	leaf; ⚠️[G.] petal (n)	
uU{BEj%ea3	lasta-	to listen, give ear (vb)	
hO$%X2LfU@	lastadui	audible (adj)	
v`V^jhE=~n	lastad	listening, hearkening, attention (n)	
s1>]:C>+r6	lastor	eavesdropper (n)	
hTS2et(&*u	lasto	listen, *hark (interj)	
vH`B/qFX&u	last	(sense of) hearing (n)	
CMi=ZK::Ev	las	leaf (n)	
z+q_[tR/g	lathr(ad)a-	to listen in, eavesdrop (vb)	
Ck7t?)tbi!	lathron	hearer, listener, eavesdropper (n)	
I5E!e=+oNl	lath	thong (of leather) (n)	
"dLBX$1Pm~#"	laub	shirt (n)	
KkS3FyS^+p	laudh (Body Parts and Functions)	gluttonous eating, [N.] †licking up (food or drink) (n)	
rPuS!tPqfX	laudh	gluttonous eating (n)	
k~7b>Ze^AL	laug	warm (adj)	
Qx^wSfcgqn	lav-	to lick (vb)	
g-g-WshSI4	lavan	animal (n)	
QO>U0i;7W<	lavra-	to lap (of animals), suck up (vb)	
PpRIwA1WD.	law (adv)	not (adv)	
PP<q>VB[(a	law (n)	sound (n)	
z^B9.::$n;	leb-	to pick, pluck, take or feel or touch with fingers, cull (vb)	
N$Hd@rm3W>	lebenedh	middle finger (n)	
JE<Ac[Sf]o	lebent	fourth finger (n)	
C=HL]5o6]d	leben	five (cardinal)	
CJ]iH%/f8u	leberen	fingered, of fingers (adj)	
J,0!t-AafX	leber	finger (n)	
we54B7c3%=	lebethron	Gondorian hardwood, *(lit.) finger tree (n)	
BK}e[:`1u8	ledhbas(t)	waybread (n)	
LNS?:Rml[w	ledia-	to open; unlock (transitive) (vb)	
BIK{3d9O2=	legol	[Ilk.] nimble, active, running free (adj)	
w,kZ}fC&pD	leidhron	liberator, saviour (n)	
pk;&.)QMX!	leinas	freedom, liberty (n)	
GQ+!8raS%P	leithia-	to release, [N.] set free (vb)	
E,Q(m:qAeL	leithian	release from bondage, [N.] release, freeing (n)	
"wO6:Y#^j`V"	lembas	waybread, journey-bread (n)	
"z&Lj3<#OWY"	lemma-	to beckon, crook the finger (vb)	
mEmnz`(G&`	lend	tuneful, sweet (adj)	
s|P{JQyOjB	lenia-	to sound, make a noise (vb)	
ySxQ32t(@r	lephaen	fifty (cardinal)	
dP7Ca!Dk%Y	lest	girdle, *belt (n)	
o}EH*:)Q$m	lethril	hearer, listener, eavesdropper (f.) (n)	
H)*]Ev@hel	leutha-	to pick (up/out) (vb)	
QtzZa]M5a;	le	thee, you (polite) (pron)	
h(A4=RBCmM	lhab-	to sup, *sip, ⚠️suck, lap up (vb)	
j=)Lpoopn2	lhab	sip (n)	
%AZ!uB*8o	lhach	leaping flame (n)	
Ey.f)ym+uv	lhaew	sickly, sick, ill (adj)	
l6VQ<n<8K-	lhain	lean, thin, meagre (adj)	
LO]2tog}YZ	lhaw	ears (of one person) (n)	
zbx[xYY]B(	lheweg	ear (n)	
FiqRZf[MVK	lhid-	to sort out, sift, sieve, discriminate (vb)	
duPleK%-+D	lhig-	to creep, sneak, do or go by stealth (vb)	
Q:GUtQfH1	lhim	sliding, gliding, slippery, sleek (adj)	
DDi2iqJB2+	lhind	fine, slender (adj)	
B:{B@/IT3@	lhing	spider’s web, cobweb; ⚠️spider (n)	
m*bCAg/qKS	lhinnas	slenderness, thinness (n)	
iRy9/TT]_7	lhoereb	venomous, poisonous (adj)	
M1=6d1M}2K	lhoer	venom, poison(ousness) (n)	
pcAG,g>s=j	lhoew	poison(ous substance) (n)	
qFigcuzjk%	lhongannas	phonology, (lit.) shapes of sounds (n)	
b05!<Nej|>	lhongant	allophone, surface sound, (lit.) sound-shape (n)	
"p]#{o3D264"	lhossa-	to whisper, rustle (vb)	
It;<WET?w9	lhunc	pharynx, gullet (n)	
LO6a/mT<aS	lhê	fine thread, spider filament (n)	
D|vx.0[kOe	lhîd	sieve (n)	
mn77I<UREw	lhîw	sickness, disease (n)	
BIW:z-cyYS	lhôn	noise; *phone (in linguistics), speech sound (n)	
I@B?8CVD:%	lhûg	reptile, snake, serpent, worm, *lizard; [N.] dragon (n)	
E:RV@+|1&}	lhýda-	to make sick, sicken (vb)	
GF!00;jt!y	liltha-	to dance (vb)	
q9{:U;!1>I	lilt	dance (n)	
-|-/&qjPS	lim (adj)	quick, swift (adj)	
"vO#5Wa.3*5"	lim (n)	fish (n)	
9m`$Abt{S	limig	[small] drop, ⚠️drop of water (n)	
f5syP_@SI_	limlug	fish-dragon, sea-serpent (n)	
"q@)#@=kp?["	limmeg	young fish, small fry (n)	
U=R.Iq}-~	limmid(a)-	to moisten (vb)	
tJ&V+m[!q?	limp (adj n)	clear, sparkling; (bright/clear/gleaming) liquid (adj n)	
Q!-w/Ki@>g	limp (adj)	wet (adj)	
K-B>,C}b_Z	lind (adj)	fair (adj)	
"nyp<W+/#`m"	lind (n)	song, chant, singing, ⚠️[N.] air, tune; [N. and S.] singer (n)	
"y}Z/jw#{4e"	linna-	to sing, chant (vb)	
cS2|!,gh}=	linnas	music (n)	
F<7kzVWC&5	linnathren	musical (adj)	
lIjQ+!X5a6	linnod	type of poetic meter, (lit.) ?seven-chant (n)	
"Lo#|^:Xy2z"	linnor	singer (n)	
KL^r])AO&	linn	song, chant (n)	
Ckc3R-I3+d	lisg	reed, [G.] sedge (n)	
mVj.q![u]G	lissuin	a fragrant flower (n)	
"MBh#y&C?vg"	liss	fragrant, sweet (adj)	
o$A~6(|lb3	lista-	to show grace, kindness (vb)	
NIr1b338AR	listo	please! (interj)	
Iajap)zpk7	list	grace, favour, kindness (n)	
yk&R@M5X5X	lithui	ashen, ashy, of ash, ash-coloured, dusty (adj)	
q2*exQ@Zf_	lith	ash; [N.] sand (n)	
"cxy3{H[Nd#"	liv-	to drip (vb)	
wDr!`T%2_P	lob-	to gallop, *lope, ⚠️[G.] run (vb)	
w>KUS+(b_0	lobrob	gallop; sound of horse’s feet (n)	
Ejv$<!.K;B	loda-	to float (vb)	
xLcUB87P(3	loeg	pool (n)	
E9CO*D8uu1	loen	soaking wet, swamped (adj)	
QA<&:M:,7^	loetha-	to curl, bend, wind, twine, ⚠️tie knot, tangle (vb)	
y6pl:NQz$L	loeth	twist, tendril, spiral, coil (n)	
r-=(QD=5=W	loew	moss (n)	
pr@VyXd+;K	log-	to haul, drag (vb)	
QW(8@cRk?.	logra-	to stoop, bow, cower; to submit (vb)	
rbOvs=T$8W	logren	curled, curly, *bending, looping (adj)	
Sh0x78M56	logweg	meandering, twisting, winding; intricate; (lit.) apt to bend (adj)	
"Pr#LsglcC)"	lom	weary, *tired (adj)	
C!&}$2C$mP	lonc	curl (n)	
B8/I&9>)0~	lond	(land-locked) haven; [N.] narrow path, strait, pass (n)	
G}s=g6Z.U`	long	heavy (adj)	
E<JQArH.f4	lonnas	harbourage (n)	
"hW,#C7)USM"	lonn	(land-locked) haven; [N.] pass (n)	
dfyor3z]Dn	loph	nugget, (small) chunk, clump, tidbit (n)	
eR]$M=!jw	lor-	to sleep, slumber, ⚠️dream (vb)	
fmjUe?{^zi	lorn	asleep (adj)	
Jx-`1ct:zZ	lortha-	to put to sleep, send to sleep (vb)	
o!:UQ_FXHk	losbas	ryebread (n)	
P]E*VkGcXP	losc	rye (n)	
L:x[SY@x18	lossen	snowy (adj)	
Dk<2{vb[D9	losta- (Agriculture and Vegetation)	to bloom, blossom (vb)	
j6},:6QF4/	losta- (Body Parts and Functions)	to sleep (vb)	
G2&C,eMVCx	lostad	blooming, florescence (n)	
lClK4C{AY(	lost	empty (adj)	
Ho4qAcnyc:	lothalan	raft, (lit.) floating platform (n)	
L3rRn.MZKE	lotheg	single [small] flower, *floret (n)	
e)ek*_$yIs	loth	flower, single blossom; inflorescence, head of small flowers (n)	
OhV4.F;Vta	loven	echoing (adj)	
mV&q421Og4	lo	while (conj)	
VA5i.N;96	luig	minute, moment (n)	
D=B/q}%p,0	luin	blue (adj)	
AtSvg5B^E$	lui	blueness; livor, livid mark, *bruise (n)	
q{6pQd)~._	lummor	foul weather (n)	
PlBE?KE+F9	lumren	shady, [G.] overcast (n)	
CH36Qbf8^d	lum	shade, *a thing blocking light; [G.] [dark] cloud (n)	
P(nKkDJ;o2	lung	heavy; [G.] grave, serious (adj)	
P?<M=/:9,l	lunt	boat (n)	
B`.4olZA@+	lurlos	poppy, (lit.) flower of sleep (n)	
z]1eBnSO3T	lígu	candle (n)	
x97L_fWFk!	lín	*thy (pron)	
O?4R~hJc15	lítha-	to let slip, lose, mislay; (intr.) to be lost; forget (vb)	
e9WlvqA$Iu	lîdh	journey (n)	
nh9]]dsC!<	lîf	link, *joint (n)	
>r,+)yGMz	lîg	wax (n)	
b,;.JCWs}o	lîn	pool, mere (n)	
dmb<MNPOUf	lîr	line, [N.] row (n)	
r!K+D%.qEQ	lî	people (of one kind or origin), ⚠️[G.] folk, many people, crowd of folk (n)	
uOLyOdE+Wj	lóran	seasonal year, (lit.) growth-cycle (n)	
Bnen&(ay%r	lô	flood, fenland (n)	
oSTQG&y5Um	lúda-	to pass (of time); to come to pass, occur, *happen (vb)	
kGQU@v)+|3	lútha-	to enchant (vb)	
CVHx;?jD!%	lúthad	enchantments, sorcery (n)	
P!&wqrY%6<	lûb	fat, (fat) flesh (n)	
O~,pTMiY?,	lûg	bend, loop, wind, twist; guile, deceit (n)	
"F#=HTHS1zR"	lûr	sleep, slumber (n)	
Dl{2iKF_n=	lûth (Agriculture and Vegetation)	blossom, inflorescence [on a single plant] (n)	
"D(#6`c|%>i"	lûth (Religion and Beliefs)	spell, charm, [ᴱN.] magic (n)	
BUddnm{_u8	lû	time, occasion (n)	
i~3/6u4fTV	lŷg	snake (n)	
FmCCUl[re(	mab-	to seize, *grasp, grab; ⚠️to take away by force (vb)	
"Id)LFB{#<{"	mabed-	to ask [a question] (vb)	
uH6kwkc.!3	mablanthos	sycamore (n)	
l4Tv[z.W?z	mabrenas	dexterity (n)	
z]tuca*z,X	mabren	handed, having hands, dextrous (adj)	
iZIEy3umN`	mad-	to eat (vb)	
FguCpO(qg)	madha	mud (n)	
kFjH|L=q>/	madhren	muddy (adj)	
l]T>TJ<,(H	madui	edible (adj)	
Pcx@n8~1(5	madweg	gluttonous (adj)	
zvaj%s]wwQ	mae (adj)	soft, pliant (adj)	
KwOH]C4R2^	mae (adv adj)	well; excellent, admirable (adv adj)	
N-d[Km$)L?	maeas	dough (n)	
O&eon9?yPn	maecheneb	sharp-eye[d] (adj)	
GSEF=s_3y!	maed (Emotion)	shapely, *pretty (adj)	
"gY#/Y0uQrp"	maed (Physical Acts and Materials)	handy, skillful, [N.] skilled (adj)	
Rf_4}-JBDe	maedol	welcome (adj n)	
Km5p`]nr*W	maegra-	to sharpen (vb)	
cV?,pva03U	maeg	piercing, sharp, *penetrating (adj)	
l1&ZH%Rvni	mael (adj)	well (adj)	
lUq{w@8:7J	mael (n adj)	stain; stained (n adj)	
M3[ee&h9(+	mael (n)	lust (n)	
I[^{wDk+<{	maeligeb	wealthy, rich (adj)	
u-@;l/]/FO	maelig	wealth, abundance (n)	
b0JI9B%Ct&	maelui	lustful (adj)	
p(X,}5?WH;	maenor	craftsman (n)	
G(SBJk.6&g	maen	a treasure (n)	
lbXX|}z:W?	maeras	goodness (n)	
FhY~capdqk	maeron	artist (n)	
h4qLfqAJ+0	maer	good, excellent, fair; [N.] useful, fit, good (of things) (adj)	
w4[^>O5=xC	maetha-	to handle, wield, use, manage, treat, deal with (vb)	
L$&@Yrjg^[	maethas	control, *authority (n)	
7^;.D{t-v	maetheb	having control or authority (adj)	
uAjZHNT7^I	maeth	management (n)	
wU~FEDw|mc	maga-	to forge metal (vb)	
B-BPBqsC05	magor	swordsman (n)	
DOP-7a3Thc	main	prime, chief, pre-eminent (adj)	
H|X8.x&:?,	mair	precious (adj)	
Gzx1>H~<Ku	maith	goal, intention (n)	
uZu)v^0i1<	mallen	golden, ⚠️[N.] of gold (adj)	
"C#UGv{#1d7"	mallorn	gold tree, yellow tree (n)	
jo3clnHMq.	mallos	golden flower (n)	
A|?WG$T-8`	mallú	when, (orig.) what time (adv)	
KBr]CDpaah	malthos	butter cup (n)	
McQ06DSsCT	malt	gold (as metal) (n)	
PY4e3<9mLY	malu	fallow, pale, ⚠️[ᴱN.] yellow (adj)	
ceX5EF(uWb	mam	grandmother, ⚠️mother (n)	
}eV>2RU/P	manc	grip, grasp, hold (n)	
t,wQ`15[*c	mang	butter (n)	
v2qp&Fsq4i	man	*what, who (pron)	
QM]blk>P&N	masta-	to [put to] feed, graze (vb)	
yUckQY?w&X	mast	fodder, feed, ⚠️food, nourishment (n)	
QsK=V4<~7=	mathad	handling, feeling, stroking, caressing; appraising, assay (n)	
JW)Gbk9sm4	maul	flour (n)	
NTgpU*^C&(	maus	pleasure; pleasant taste, pleasant (n adj)	
t1YoD*jq=.	mav-	to like (vb)	
tg`?hwioM3	mavor	appetite (n)	
Kqe6B*ujH^	mavras	desire, eager longing (n)	
Bi{_P.eiXg	mavren	delectable, delightful, desireable (adj)	
"kr4fHSk#q8"	mavron	shepherd, herdsman (n)	
taJ0edpg0s	mawedh	glove (n)	
uLqXtQ0[=H	maw	soil, stain (n)	
ls6?;R{T<z	ma	good, excellent, that’s right (interj)	
yEexI!uIAz	mechor	gore (n)	
B-&%.r:gO{	medhia-	to knead, soften (vb)	
B])OWkp]21	media-	to feed (vb)	
zbPCGJV)]`	medlin	*bear-like (adj)	
"dba#;h6F1*"	medlivorn	blackbear (n)	
Ap*LxOts63	medli	bear, (lit.) honey-eater (n)	
Ou$nW_=j7w	medui	end, final, last (adj)	
q.XNMyct3+	megil	sword, longsword (n)	
j%2gOaUKWi	megr	sharp-pointed (adj)	
tx!k|@}|0<	meiras	value, preciousness (n)	
FY.fkJ>|)j	meitha-	to aim at, *have as a goal; ⚠️to intend, mean (vb)	
MS&!XW/v3e	meithas	meaning (n)	
K)zSM:_*OP	mel-	to love (vb)	
BW|vz~1f4r	melethel	darling, sweetheart (n)	
y[J]%,S>L4	melillin	daffodil, (orig.) yellow song (n)	
Ez3>BR0jRg	melingarn	orange, tawny (adj)	
d9:Z[_R`NH	mellavan	pet, (lit.) love-animal (n)	
wMF>I9L&<!	mellon	friend (n)	
JUw`*E3jCr	mell	dear, beloved (adj)	
n&k8:81;jQ	melui	lovely, sweet (adj)	
NITn$h)93/	men (n)	road, way; ⚠️[N.] *place (n)	
G|jvoB`u1E	men (pron)	us (pron)	
k=<6ww.T|)	men-	to go (vb)	
"L.zCTn#Kt:"	meneg	thousand, *large in number (cardinal)	
"tyO:eIq#l;"	menel	the heavens, firmament, region of the stars (n)	
EI`e02c%,6	mengui	thousandth (ordinal)	
uO]rrB&Hbc	menna-	to send, (lit.) make go (vb)	
lY~;d-Yq/o	ment	message (n)	
w;fjW^eFjO	mer-	to hope, wish, desire, want (vb)	
J$*u[SUoMp	meren	festive, gay, joyous (adj)	
p8SdY@{W[{	mereth	feast, [N.] festival (n)	
JL|;;S/.qM	merifind	Black-haired (adj)	
uPtOVaI)dR	meril	rose (n)	
N&7V5&=@3l	mertha-	to gladden, make happy (vb)	
w+;bi[.dsx	meru	valuable, worthy (adj)	
hG89Cd):a9	methed	end (n)	
LWe!A}+3_a	meth	last; ⚠️[N.] end (adj)	
uvzY[E*[Q5	me	we (exclusive) (pron)	
qV-vc`{<j;	mib	(little) kiss, peck (n)	
CsYc{X)[H_	milbar	dear home, beloved dwelling [place] (n)	
"v#4rJbJV|c"	milf	greed (n)	
"n+HJd#($75"	milt	semen (n)	
K~AL=jJhiu	min (cardinal)	one, ⚠️[G.] single (cardinal)	
y8iA=1Jnbg	min (n)	peak (n)	
PNGZa0J^&M	minai	distinct, unique, single (adj)	
t8jv{n$3zS	minas	tower, fort, city (with a citadel and central watch tower) (n)	
shJ_kcS6Z>	minib	eleven (cardinal)	
rYgN<5>^<Y	minlamad	?alliteration, (lit.) first-echoing (n)	
e~SVAu0Jag	minna-	to go in, enter (vb)	
Bo_JP4.RZG	minol	ingot (n)	
jT4NC1E[*d	minuial	(dawn) twilight (n)	
bQZA6Qar$p	mirian	Gondorian coin (n)	
QKh1!6Cxuc	mirith	jewelry (n)	
lDHpZZTG0%	mirtha-	to value, esteem, treasure, cherish (vb)	
i+b^<6tFA9	miruvor	a special wine or cordial (n)	
da./eJIAC/	mirwelthen	vintage, *(lit.) wine pressing (n)	
"n0RT=?Ddy#"	mirybin	grape, (lit.) wine-berry (n)	
cvq/^n)jFF	mithril	Moria-silver, true-silver (n)	
d=A~{m3V=B	mith	grey, light grey, pale grey (adj)	
"i.NJb|nX.#"	mivan	where, (lit.) in/at what (adv)	
j<7;O6)96E	mi	*in (prep)	
"mykBw.O<#k"	mol-	to grind, pulverize (vb)	
FkChI2Splg	molif	wrist, (lit.) hand-link (n)	
eg`?o%dTXB	molnel	molar (n)	
inyW;+}s~	molor	mill (n)	
sI/LGD]|9.	morchant	shadow cast by light, (lit.) dark shape (n)	
"w;?@bK@V#/"	morgul	black arts, sorcery, necromancy (n)	
"Qdjw~[EL#["	mornechui	coffee (n)	
zvRq89n;A~	morn	black, dark; ⚠️night (adj n)	
IMaIXmls$K	mothren	dusk, dusky (adj)	
"y+y#Oi$G^2"	moth	dusk (n)	
C+`QHUeT$g	movan	how, (lit.) by means of what (adv)	
AR<?upIzm.	mo	by (agent of) (prep)	
NXx}<-/AKW	muia-	to whine, moan, whimper, caw, meow (vb)	
wIwDc;Cb$b	muig (adj)	soft, gentle (adj)	
F@tQM/w45t	muig (n)	cat (n)	
"rAL*#$w)cr"	muil	drear[iness] (n adj)	
oBsjD6i;CG	muis	softness, tenderness, gentleness (n)	
h)r)-ol$ff	mund	bull (n)	
Nz<V$^eb_H	munneg	calf (n)	
u?am90^H1)	munnost	byre, cowhouse (n)	
nCBQ9@ubfp	mâb	hand, ⚠️[N.] grasp (n)	
bohB3%QWo2	mâd	meal (n)	
Fg7+QFibwQ	mâf	pile or mass of rock or earth (n)	
P),0~RpGK!	mâl	pollen, yellow powder (n)	
u;zLIVcRv=	mêd(h)	[Ilk.] wet (adj)	
rO4i.]L~3d	mínem	movie, motion picture (n)	
