#separator:tab
#html:true
#guid column:1
#tags column:4
c+<k:Ye%i%	-(i)llo; -ilco; -stë	you (dual) (suf)	
C%B6TNuCF^	avahaira	very remote; *far beyond (adj)	
IBp*M`1%ts	ëaruilë	seaweed (n)	
k:&_:*7[7/	ehtelu-	to bubble up; to well (vb)	
"in{oz#=:cb"	ehtyar	spearman (n)	
p@XKRd[hJ+	eccaira	?out-far (adj)	
m$fqq&xl2+	ecco	point; spine; thorn (n)	
"zklP.fx0v#"	ella	for you; of you (pron)	
cM1T8Zd9F(	ellöa	next year (n)	
NpPa@sp>&w	en (end-)	far away; in that (future) case; look yon(der); that; there; yonder (pron adv)	
BrknW*a|mi	ender	bridegroom; fiancé; *groom (n)	
D2d<xqChRH	enga	save; *except (prep)	
vaSx95+aG&	engë	ago; once (in past) (adv)	
Cn$7It_H;8	enna	(primary) thing [that exists]; fact (n)	
lKr4.{FvIU	ennë	purpose; thought (n)	
zJ.RK;h7:a	enta (pron adv)	next; that yonder; then (fut.) (pron adv)	
vsEVG21Tk<	enya (adj)	*central (adj)	
Ge*JSf&:O9	enyárë	in that day (adv)	
"bhPk#<d7p@"	erdë (Agriculture and Vegetation)	germ; seed (n)	
m>&%m`qM4z	erca-; irta-; nasta-	to prick (vb)	
ea(fN>3Qsd	ercassë	holly (n)	
E!Om^=jzv<	erca	prickle; spine (n)	
"B1p#i=%[`]"	erumë	desert (n)	
hh%<WUsglP	erya	only; single; sole (adj)	
h)EK8FUpGG	esta-	to name (vb)	
B*Nuh8o&c[	estaina	named; *called (adj)	
duOe>@KO`X	etsë	exterior; outside (n)	
"dyujc%#,)B"	etsir	mouth of a river; *(lit.) outflow (n)	
qTy(?{,w}b	ettelëa	foreign (adj)	
pG5$l<iX!&	ettelë	foreign parts; outer lands (n)	
"PsD&#j1td~"	ettë (adj adv)	outside (adj adv)	
OBufqT_!H;	ettul-	to come out; to issue; *to come forth (vb)	
AFi<HR>zW>	së [þ]; ë	he; it; she (pron)	
w}EsS>ld4x	fafarra-	*to keep on hunting (vb)	
yEAzrP24A1	faica	contemptible; mean (adj)	
x;R)O=Coq1	faina-	to emit light (vb)	
!4Bx5K>E/	fairë; nalta [ñ-]	radiance (n)	
"BF_q]Vn#v;"	falmar(in) (falmarind-)	nymph; sea-fay (male); sea-spirit; spirit of the sea foam (n)	
yBEO4wo[@M	fanya (n adj)	sky; white (n adj)	
ie+?p*X[IB	fanya (n)	(white) cloud; white and shining [thing] (n)	
sx1z]|H1L/	farastëa	of the chase (that it is proper to hunt) (adj)	
Ko7i]RdKDf	faren	enough (adv)	
BG;K^^Z6g,	farina	fugitive; hunted (adj)	
C3]6Pc}IE|	farino	fugitive; hunted man; outlaw (n)	
oKBir=5LDJ	farma	?carpet (n)	
wA^tKu8i55	farna	prey; quarry (n)	
b(S{u?+GRl	farya-	to suffice (vb)	
goR|cZ7p=0	fas (fass-)	fringe; tassel (n)	
Q}@L;[Mwvl	fassë	shaggy lock; tangled hair (n)	
D^g<|}eB;.	fasta- (Body Parts and Functions)	to tangle (vb)	
"n-]$_EcMU#"	fasta- (Emotion)	to please (vb)	
P`|7!zCPK;	fasta	pleased (adj)	
i5T`**3]I@	fauca	parched; (lit.) open-mouthed (adj)	
G6/BAJ%lCq	fenda	threshold (n)	
g%?jQy[rN	lócë	serpent; snake (n)	
ev5V:UJ,TR	ferinya	beechen (adj)	
e?zvAR}XFg	ferna	beechnuts; mast (n)	
JOSN~![>9e	feuya-	to abhor; to feel disgust at (vb)	
F.pC5}Hi!S	filit (filic-)	small bird; sparrow (n)	
f/&OWJ2a1D	finë	larch (n)	
u=tc.vhbrw	fion (fiond-)	hawk (n)	
v^AJk+(ML$	fir-; quel-; sinta- [þ]	*to fade (vb)	
85A&8l`U9	firë	mortal man (n)	
A[G~)<H;-k	firin	dead (by natural cause) (adj)	
"j.#^HX!Y&w"	fortë (forti-)	right or north (adj)	
D2EZ5]0@@4	forya	dexter; right (hand) (adj)	
xKSAo!|+Hc	fána	cloud; white (adj n)	
"LA:^,nV#9s"	fárëa	enough; sufficient (adj)	
y,FBcc*We<	fírimárë	mortality; the state of being mortal (n)	
J2xw4G%(5:	haimë; sito (situ-)	habit (n)	
MMFXp^-R.P	haira	far; remote (adj)	
C>xn:+xIz!	hala (Animals)	(small) fish (n)	
BkQ[LM}.{3	halatir(no) (halatirn-)	kingsfisher; (lit.) fish-watcher (n)	
y}Pbvdd*3|	halda	hidden; shadowed; shady; veiled (adj)	
A(8JfGFt]5	halya-	to conceal; to screen from light; to veil (vb)	
lBo*~dNx7x	hana; talca	post (n)	
sR)UXo-h:<	handassë	intelligence (n)	
KgFe+gC&:6	handa	intelligent; understanding (adj)	
k>Ue0DpnZI	handelë	intellect (n)	
u:dz<EWLE0	handë	knowledge; understanding (n)	
P>/`Z@bFR?	hanuvoitë	*masculine (adj)	
k@D8-<8P>4	hanu	male; male animal; man (of Men or Elves) (n)	
QZKviSr9+V	hanwa (adj)	male (adj)	
BQ|Vz?_OrO	hanya-	to be skilled in dealing with; to know about; to understand (vb)	
I;_|;:q5TA	har- (Dwelling and Furniture)	to abide; to dwell; to reside; to sit (vb)	
wtqNpXTs]<	har- (Spatial Relations)	to remain; to sit; to stay (vb)	
P2BL$sXrUY	harma	treasure; treasured thing (n)	
or-n&I:-Qf	harna-	to wound (vb)	
Csv!w>?BL<	harna	wounded (adj)	
PX+orZt=/S	harwë; nahtë	wound (n)	
Al+FpT,3p~	harwë	treasure; treasury (n)	
P&kIEzXe^!	hat (haht-)	comb; crest; ridge (n)	
qDU~cQEuyd	hat- (Motion and Transportation)	to fling; to hurl; to *throw (vb)	
tQ@V,&a;Np	hat- (Physical Acts and Materials)	to break asunder (vb)	
P&fs=gm}nf	hauta-	to cease; to stop; to take a rest (vb)	
D%wQBj$17(	ha	abstract subject; it (pron)	
Ls)>>1-d=)	helda	naked; stripped bare (adj)	
wj-yTOLBO$	helcelimbë	*icicle; (lit.) ice-drop (n)	
"d_4#$}H>?P"	helcë	ice (n)	
Pxkin>!4mB	helma	fell; skin; *hide (n)	
"nst#Us?6#Q"	helwa	(pale) blue (adj)	
fxl`|P7k3B	helyanwë	rainbow; *sky-joining; (lit.) sky-bridge (n)	
"GC=CYnB$0#"	henulca	*evil-eyed (adj)	
kg&Dt&DnMj	heren (Possession and Trade)	fortune; (lit.) governance (n)	
P^wgOQ>S)f	herenya	fortunate; rich; wealthy (adj)	
z43WD1JUE;	hesto	captain (n)	
qEAZoA-cIF	hilya-	to follow (vb)	
xQo>-j.~o2	him-; himya-	to adhere (vb)	
l{jOqr^Zx3	himba	adhering; sticking (adj)	
lj`aAtml|c	himya-	to abide by; to cleave to; to stick to (vb)	
HUFk+yMBJG	hiswa [þ]	grey [of weather]; overcast; *foggy (adj)	
gRYtSw(M*2	hiuta-	to hint (vb)	
ig^d{zX5CN	hlic-	to creep; to *sneak (vb)	
qw=)|VQl?x	holmë	odour; smell [not necessarily bad]; *scent (n)	
nUETwNc=2>	hont (adv)	inwards (adv)	
Fq^mwM7egK	hora-	to wait for (vb)	
gu8l42xA21	hormë	urgency (n)	
QQDQ~<f4/X	horta-	to send flying; to speed; to urge (vb)	
uHzyce|<8X	hortalë	speeding; urging (n)	
KI28I7+v!h	horya-	to be compelled to do something; to have an impulse; to set vigorously out to do (vb)	
s1EQ=:I%Y3	hosta	large number (n)	
dj:.FKo>3	huan (hún-)	hound (n)	
t~!QIlq4@Y	hwan (hwand-)	fungus; sponge (n)	
JYdb[pOrNZ	hwarin; raica; rempa	crooked (adj)	
Fa&m|/7<)w	hwarma	crossbar (n)	
p;Cm-Un+(6	hwesta-	to puff (vb)	
D{^$n>u9VW	hwindë (Physical World)	eddy; whirlpool (n)	
OXx9^bK{8x	hwinya-	to eddy; to gyrate; to swirl (vb)	
np_Zmw_8&F	hyalma	conch; horn of Ulmo; shell (n)	
"sVdh.{*r#+"	hyanna	compact; compressed (adj)	
CZ+=wSo;0>	hyapat	shoe (n)	
O2WxFMhjDw	hyar- (vb)	to cleave; to plough (vb)	
Ndztx]1,,]	hyarmaitë	left-handed (adj)	
"ttW#8Z7/cP"	hyarna	compact; compressed; southern (adj)	
J4~XN^^CCR	hyarya	left (hand) (adj)	
PI=BGzOvBZ	hyatsë	cleft; gash (n)	
F_j%<zw{fm	hyóla	trump; *trumpet (n)	
y1^mKO2aAZ	héra	chief; principal; *main (adj)	
i1H-lB:^A$	hópa	harbour; haven; small landlocked bay (n)	
BwG9D/A|@R	hórëa	impulsive (adj)	
z[C$G8uZ2k	hórë	impulse (n)	
tXXT_eH&51	hún (hun-)	earth; *ground (n)	
p&L(Q{L2ys	ilduma; telumë	heaven (n)	
Ex?De}6`;z	vilya	air (n)	
k6x5O+Ir*-	imbë (adv)	in(wards) (adv)	
AyA>7dkK*h	indyalmë	clamour (n)	
rlAjuFkccF	indyo	descendant; grandchild; grandson; *granddaughter (n)	
w1L@*AA$eS	inga (adj)	first (adj)	
z7D-35.mi6	inimeitë	*feminine (adj)	
xF^]O^0K(P	inca; intya; tenna	idea (n)	
w3GV3x.x}}	intya-	to guess; to suppose (vb)	
PG!Fh<;%4f	intya	guess; notion; supposition (n)	
FicS!^.9df	inya	female (adj)	
J0lewF{GIb	issë	where [relative] (conj)	
KbYX0rbTYQ	istalima	ascertainable; knowable (adj)	
t=X(|P3(9s	istyar	learned man; lore-master; scholar; wizard (n)	
ddJG2*|i>z	caila	lying in bed; *abed (adj)	
pyv5IJ14%A	caimasan (caimasamb-) [þ]	bedchamber (n)	
LW@*2bBGBR	caimassëa	a-bed; bedridden; confined to bed; sick (adj)	
A)8)kkR,((	caimassë	sickness; (lit.) lying in bed (n)	
I}LzM:ZA9a	caima	bed; couch (n)	
cGj&wiZHlB	cacarra-	to keep on doing; to *continue (vb)	
"I9X41JXU#h"	calina; linda	light (adj)	
by)(8BbqRW	callo	hero; noble man (n)	
l`q:5KbF5O	calpa-	to bale out; to draw water; to scoop out (vb)	
o(8|nA&?,l	calpa	bucket; water-vessel (n)	
HL6)y&$15|	calya-	to illuminate (vb)	
nJ!~++!Yvv	cambë	hollow (of hand) (n)	
Mx>=-]qbc3	canta (n adj)	frame; shape; shaped (n adj)	
b/~;4KG5|t	cantëa; maitë (maiti-)	shapely (adj)	
j-O]ccb)/[	capsa	case; vessel; *container (n)	
j_6s.0Ez}7	car (card-)	building; house (n)	
FD!AO)GR82	caranya-	to make red; to redden (vb)	
Q?>vgh)YDh	carina (Time)	made (adj)	
F]Epn{3sZ:	carcanë	row of teeth (n)	
"y%*#oUC,rS"	cas (adv)	towards the top; upwards (adv)	
zZ+mK@0)1F	cata; nó	after (prep)	
ui.lU<yj,H	cato	afterwards (adv)	
J8%xfV<]3H	celma	channel (n)	
uUziOj<SN`	celu-	to (begin to) flow; to spring forth (of water) (vb)	
BDdS.,~>!h	celurë	fountain (n)	
KKU){evPWI	cemnaro	potter (n)	
tT+<2%~4su	cemna	earthen; of earth (adj)	
Hqp))k7SHs	cirissë	gash; slash (n)	
ICAN19@hGD	coita-	to be alive; to have life; to live (vb)	
D7FPRa(g^j	corin	circular enclosure; great circular hedge (n)	
sN$`5Nw=8t	corna	globed; round (adj)	
L5noUCrJ2[	coromindo	cupola; dome (n)	
ApmK<a=l((	coron (corn-) (Spatial Relations)	ball; globe (n)	
ngn;o]B<y)	costa-	to debate; to dispute; to quarrel; to *argue (vb)	
q[,fjDkqh,	cotya	hostile (adj)	
yZueu74@^g	xara-	to long for; to yearn (vb)	
KwQTVW,E/A	cuivëa	wakening (adj)	
zC!j@6??G7	cucua	dove (n)	
kMn3WNx3%(	cucumba-	to nod repeatedly; (lit.) to keep on bowing (vb)	
m_X.$XFd+~	culuina	orange (coloured) (adj)	
K@Y$nCwf@B	culuma	orange [fruit] (n)	
D2}1nYUv=J	cumba	*bellied (adj)	
BYdCADF0)Z	cumna; lusta	empty (adj)	
rkx@3n09)j	cunduina	of princes; princely (adj)	
LPUw$]f_,3	cuv- (Physical Acts and Materials)	to bow [the body] (vb)	
P*$8oofrgA	cénima	able to be seen; visible (adj)	
p2a4FWw!Cm	cúma	void (n)	
Q%vW_1LZcS	cúvula	flexible; pliant (adj)	
kC<O7AXL.|	lah-	to kick (vb)	
E>)9/{Wvc7	lahta-	to cross; to go over; to pass over; to surpass (vb)	
B-g`?^-^n3	laica	acute; green; keen; sharp (adj)	
J*h&UBTE4!	laicë	acuteness; keenness of perception (n)	
g&_).qc|XF	lairë (Language and Music)	poem (n)	
"gQde#W*Z*H"	laivë	ointment (n)	
Lp}0*L5y~k	lamya-	to sound (vb)	
p+96-Kfs|	lanat	weft; *woof (n)	
O)}VP>kElT	lango (Body Parts and Functions)	neck; passages [that are] narrower parts of a structure serving to join larger parts; throat; *corridor (n)	
nRh=V6VoY8	lango (Warfare and Hunting)	broad sword; prow of a ship (n)	
"lS4Y?lA7b#"	lannë	cloth; tissue (n)	
HQ5KE^BD]J	lanta	fall; falling (n adj)	
ukJ%.otzuK	lanwa (n)	loom (n)	
"IuJ:a:r#%}"	lanya- (Clothing and Adornment)	to weave (vb)	
AKEvaVgcdr	lapsa-	to lick (frequentative) (vb)	
L>m%`zmH;$	lapsë	babe (n)	
"Mo_x;#b@[5"	larma (Food and Drink)	fat [as a substance] (n)	
nE)@Hy;%*O	larmëa	fatty; fleshy (adj)	
zb0PrC~9`!	lar	fat; richness (n)	
nd[:M/2&nA	lassecanta	leaf-shaped (adj)	
j}V]^J8ar3	lasta	listening (n)	
E(J1W21@tG	lat-	to be extended; to be situated (of an area); to extend; to lie (of lands or regions); to spread; to stretch (vb)	
fI?!8]D{4w	latina (Spatial Relations)	cleared (of land); free; open (adj)	
ozn8en,I:0	latta (Clothing and Adornment)	strap (n)	
"nw^.0bI&#$"	latta (Spatial Relations)	hole; pit (n)	
rw6`$3|V1|	lau(me)	no; no indeed not; on the contrary (adv)	
QsoPi/oEQN	lauca	warm (adj)	
LuiZd:cih;	lauta-	to abound (vb)	
v3!NWy[n+)	lav- (Social Relations)	to afford (+ dative); to allow; to grant; to yield (vb)	
ul`*(:%wWp	lavaralda	tree with long green leaves with golden undersides and pale flowers with a yellow flush (n)	
kUP$$JF98W	lë (prep)	by; with (prep)	
kqWEMmmi|;	lehta-	to loose; to slacken (vb)	
KEnR|p$aE>	lemba	left behind (adj)	
o]-8KQek}s	lemya-	to remain; to tarry (vb)	
"l#7x-v;KI#"	lenna-	to come; to depart; to go (vb)	
dOs$z8Rh~H	lepta (suf)	*fingered (suf)	
JPwjM?!28b	lesta; massë	measure (n)	
uUK6_tKio%	lia (n)	spider filament; twine; *wire (n)	
OB}N]L~UC$	lihlicca-	to sneak about (vb)	
s7d&;j%t(N	lilta-	to dance (vb)	
d-GO/$^fWK	limba	drop (n)	
itAJdR&_ws	lindornëa	having many oaks (adj)	
lN1vN5|]po	lindo	singer; singing bird (n)	
f?:*]<8;Ap	linga- (Language and Music)	to hum like the string of a harp; to twang; to *resonate (vb)	
w6>U?g7Luk	linga- (Motion and Transportation)	to dangle; to hang (vb)	
zZ!?|E$Apt	lingwilócë	fish-dragon; sea-serpent (n)	
p.l*h77Ci:	linwë	short lay (n)	
pJHLL^C;r{	linyenwa	having many years (adj)	
xN+|?blLO9	lipsa	soap (n)	
"dX#OLZ;-hR"	liruima	able to be sung (adj)	
"Cb~#oF^(;o"	lirulë	merry song (n)	
MzxnsQ4Phe	lirustëa	fit for singing; to be sung (adj)	
ezJI,-hA-*	liscë	reed; sedge (n)	
wGjQeXScZQ	litsë	sand (n)	
h-3$&k7@3a	loita-	to fail; to fall short of (transitive); to miss (vb)	
wHaSrdm-pX	loxë	hair [in general] (n)	
s:lff2WgSz	lor-	to sleep; to slumber (vb)	
D!~O}A1~8<	lorna	asleep (adj)	
b3D~R/ZfcG	lu-	to be heavy; to be sad (vb)	
sv<@o9:D:&	luhta- (Religion and Beliefs)	to enchant (vb)	
jFE//`x9Jw	lumba	weary (adj)	
xdL0w3hw}9	lumbë	gloom; shadow (n)	
K/^=o?O=X7	lumenyárë; lúmequenta; lúmequentalë; nyárë; quenta; quentalë; quentassë	*history (n)	
"J#yqWt06fH"	lumna-	to be heavy; to lie heavy (vb)	
j==oc0W>^/	lumna	burdensome; lying heavy; ominous; oppressive (adj)	
Fm%NYyT9.H	lusta	void (adj)	
KRI}-GE7:v	lámina	echoing (adj)	
FS,3bSGV-w	lára; palwa	flat (adj)	
Z&AY-c$/W	lárëa	fat; rich (adj)	
"J)Z|g?^^#G"	línë	cobweb; cotton (n)	
x<_2<h|qtH	lómë (lómi-)	gloom; night; night-time; shades of night (n)	
vDB+ZYWnyB	lúcë	enchantment (n)	
j^Yfw3Y:,^	lúmequenta	chronological account (n)	
EeWU9N6J]C	lúpë	plume (n)	
rxaZ5,unJS	lú	occasion; time (n)	
h<{]bD)I;A	mahtar	soldier; warrior (n)	
"G*uJ#j*%)*"	mailëa	lustful (adj)	
thn,4w=d)H	mailë	lust (n)	
jh@*zMdiEa	maitë (maisi-)	handy; skilled (adj)	
qD`A7w%WE=	macal	sword (n)	
eHIaQjo<l`	maxa	pliant; soft (adj)	
gQgh@DV/~t	maxë (Food and Drink)	dough (n)	
"oP:#][@.bg"	malca	how great (adj)	
s01TiDK9!l	mallë	(made or stone) road; street (n)	
h<<YaDzl;k	malo (malu-) (Agriculture and Vegetation)	pollen; yellow powder (n)	
m+eDJWL=!N	malo (malu-) (Physical Acts and Materials)	rust (n)	
I}4)cnJfJ.	malwa	fallow; pale; yellowish; *wan (adj)	
"K6dkMlv#SY"	manima	of what kind; of what sort; what kind of (adj)	
jwksG/zxE]	manca-	to trade (vb)	
hP&/TOg+{g	mancalë	commerce; *trade [as an activity] (n)	
b~7K7XY-Au	manna; yanna	whither (adv)	
ji:!f^Hg1l	manu	departed spirit (n)	
Pt_y9v`ZSp	mapa-	to grasp; to seize (vb)	
A@K^wB>_0=	mar (mar(d)-)	dwelling; earth; habitation; home; house (n)	
f3s$}w&AS8	mar(dar)	homewards (adv)	
"g#KUC1et=*"	mar-	to abide; to be settled or fixed; to dwell; to live [in a place] (vb)	
D9/97}+}r)	maranwë	destiny (n)	
zc3`M{zCAX	maril	crystal (n)	
"ydF)^f8#~S"	marta	fated; fey (adj n)	
B6g$7RUg!`	marya	fallow; fawn [light yellowish tan colour]; pale (adj)	
ECcf1<@8UU	manas(se); massë	where (adv)	
Ew]p1$)ZTw	masta-	to bake (vb)	
dB|a`+hgb>	mat (matt-)	meal; meal time (n)	
H8K~BWVqX;	matië	eating (n)	
P}.N5vCs1`	maurë	need (n)	
lGBI9FlsU>	mausta	compulsion (n)	
qRt[W>h9RA	mauya-	to compel (vb)	
v]f%2n?c-I	melindo	lover (m.) (n)	
QC$k6:k/hX	melissë	lover (f.) (n)	
f/gl/m8O[q	mena-	to be making for; to be on way to (vb)	
D)($@5(Pm+	mennai	until (conj)	
pT9;DebG$P	mentë	end; point (n)	
I7|%E.8y!c	meren(de) (merend-)	feast; festival (n)	
mK-b^u1?A/	meryalë	holiday (n)	
bf$V_rUXsm	merya	festive (adj)	
h{/~!k*6-:	metya-	to put an end to (vb)	
IlR^@Q+Vh^	milca	greedy (adj)	
Ll:l]rC?,R	milmë	desire; greed (n)	
DZ(@X=x5IV	milya-	to long for (vb)	
G*/%6Ijt_6	minda	conspicuous (adj)	
O3426~tX0g	minya (ordinal)	first (ordinal)	
BTaT/EC&B|	miril (mirill-)	shining jewel (n)	
H-[l.|:fbW	mirilya-; tin-; tintila-	to glitter (vb)	
v|;b5$Fjyq	mir	into; to the inside (prep adv)	
FCd56o`bzG	mista-	to stray about (vb)	
qXicqS8RlT	mitya	interior (adj)	
x7!sphkOZ3	miuë (miuy-)	cat (n)	
K1kZiXwNT,	miulë	mewing; whining (n)	
tfhlM3ma?C	moina	dear; familiar (adj)	
m~S+!u@v;P	mordo	[dark] stain; dimness; obscurity; shadow; smear (n)	
OdS`@**$S`	morco	bear (n)	
m`wn6aPX4A	morna (Physical World)	sombre (adj)	
kob0u*S]Zr	morna (Sense Perception)	black of hair; sombre (adj)	
Aqa86Ncrw;	motto (Language and Music)	blot (n)	
OChFRTA6UL	muilë	secrecy (n)	
c)v|2gZvB6	muina	hidden; secret (adj)	
m^).:_m1BV	mulo (mulu-)	fine powder (n)	
E<ZGm1B-,M	mun-	to dislike; to not like (vb)	
"EB#PU;c`?H"	mundo (mundu-)	cape [of land]; nose; snout (n)	
rw^&wW_=Oz	mál	grit (n)	
foI@~uLx>8	mírë	jewel; precious thing; treasure (n)	
eVz=_t{Zg:	míwa	frail; small; tiny (adj)	
sVcNjgueJl	móla	enslaved (adj)	
QE;yfaa>5,	mólomë	hard work (n)	
lA_h7m)kvh	mórë (móri-)	blackness; dark; night (n)	
QNQ<pwQ`e>	móta-	to labour; to toil; to *work (vb)	
jcBZs(dI>Y	na-súrima	aspirate (n)	
r)v|5Pe7YA	naham-; tulta-; yal-	to summon (vb)	
"kOmqOb#0?)"	nahamna	summoned (adj)	
w5pZRc;eX.	nahta	bite (n)	
eOL,Zuzk>7	nahámë	summons (n)	
D+ZbZu&cC{	nai	be it that; it may be; may it be that; maybe; perhaps; there is a chance or possibility; *may it be (adv)	
B(k/TkrcYD	naicelëa	agonizing; painful (adj)	
ceywPJsKD@	naicelë	anguish (n)	
Og3$Dm!j;t	naicë	sharp pain (n)	
tBexCg=[mS	nairëa	sorrowful; *sad (adj)	
!]RelZX3]	nairë	sorrow; *sadness (n)	
B)$XN&9d(V	nac- (Body Parts and Functions)	to bite; to hate; to kill; to slay (vb)	
"JYPrS_K+_#"	nalláma	echo (n)	
"sbZ0j3#EFc"	namba-	to hammer (vb)	
Ly<1$%b*]B	nan- (pref)	back (again); backwards (pref)	
mum*)Nuq@J	nanda- [ñ-]	to harp (vb)	
B52XbsLsG&	nandaro [ñ-]	harper (n)	
q80pZZ?Ar/	nandë [ñ-]	harp (n)	
lyZ*X:4b_o	nandelë	harping; *repetition (n)	
yQCN1SKYYX	nandellë [ñ-]	little harp; *lyre (n)	
O{_![BV/1d	napanna	additional letter (n)	
isF1wAXT,C	naraca	harsh; rending; violent of (?sounds) (adj)	
L;1nz;|*Nn	narda; nútë	knot (n)	
j1.?vlmKZ8	narca-	to rend (vb)	
hff<i<C_BV	narta-	to inflame; to kindle; to set fire to; to *ignite (vb)	
d/>V@%)AQ	nassë; tildë	spike (n)	
l@EAW*;R<+	nasta-	to sting (vb)	
H2=]XX_~Tk	natsë	net[work]; web (n)	
"jXy&#3l>.*"	nauta	bound; obliged (adj)	
yTOxV;OY+g	nel-	tri- (pref)	
d2,_%4W03A	nellë	brook; *stream (n)	
iW0Qv-iuu;	neltil (neltild-)	triangle (n)	
mwZprzT$>H	nemestëa	apparent; *obvious (adj)	
uXyhlvv2d4	nenemma-	to keep on (re-)appearing (vb)	
Abu,S5ikU>	nengwë (nengwi-)	nose (n)	
"hxtp5#SqlE"	nengwëa	nasal (adj)	
NFuvZIoo~/	nengwetanwa	nasal-infixed (adj)	
O`;L-1Ldw{	nengwetehta	nasal sign (n)	
g%!?<nT0vF	nessa; vinya	young (adj)	
er&+&o=,y%	nessima	youthful (adj)	
pvHSuNuf)}	neuma	snare; *noose (n)	
vn`x]m7d(P	neuna	next; second; *following (adj)	
i`S1sI:q>P	neuro	successor (n)	
t|ca1<4rW$	nixë (Animals)	little fish; minnow (n)	
pqMdyB>&jj	nil (nild-)	blue-bell; harebell (n)	
u<>dY(lLyK	nilda	friendly; loving (towards) (adj)	
upfT(=Iv[C	nildo	friend [m.] (n)	
JEvfsFF=%o	nindari	nymph; river-maid (n)	
HNY,kmUbE(	ninqueri	*white (female thing or personification) (n)	
zY0H&mXQ|d	ninqueru	white (male thing or personification); white male swan; white man; white ship (n)	
vJt9t$KD7,	ninquinta-	to grow pale (vb)	
iLlqb;N&@e	ninquissë	whiteness (n)	
o;ug;{.G-@	ninquitárë	whitening; whitewashing (n)	
ty2HYyq]c>	ninya	mine; my [independent possessive] (pron)	
GrrFJZR%]K	nirwa	bolster; cushion (n)	
g:Gk8S/&h~	sahtë	scar (n)	
Gp^XN=UezJ	nis (nix-)	minnow; ‘little fish’ (n)	
O:L^]6spn6	nornëa	*of oak (adj)	
Q5{=<jC{]%	norta [ñ-]	horrible (adj)	
zE%2QVxJv;	norto [ñ-]	horror (n)	
"L#|FL(IV(X"	nossë	clan; family; ‘house’ (n)	
xe>euzQc3Z	not-; onot-	to reckon (vb)	
zo.rMt-Ek-	nui	lament (n)	
Dsn|_lXNi7	nucumna	humbled (adj)	
z=/nsqRvn6	nulda	secret (adj)	
mmQ+o!Uh}8	nulla	dusky; hidden; obscure; secret (adj)	
eT$So/}fNU	nungwë	cold (in the nose or head) (n)	
x^gm=ijw8n	nur-	to grow/be dark (vb)	
e2+|zVJ|V4	nuru [ñ-]	death [abstract] (n)	
FJ(EphdPyW	nusta-	to smell [something] (vb)	
e-Y.?.93~s	nut-	to tie (vb)	
qMdS{&.29*	nwalya- [ñ-]	to pain; to torment (vb)	
KuaL!KRNI_	nwara- [ñ-]	to erode; to gnaw; to wear away (vb)	
A=C3+4;W[V	nyar(a)-	to recite (in sing-song voice); to relate; to talk; to tell (vb)	
ohq$lB_X]o	nyarië	talking (n)	
lo>Fka<3Z=	nyarro	rat (n)	
v]+DsE,>o%	nyellë	bell (n)	
N$K`x]K/;*	nyello	singer (n)	
V!ovPem^=	nyárula	apt to talk (adj)	
C[^*dX>J[	nár(e)	flame (n)	
G[mMc~bY6)	némë	leave; *permission (n)	
FFVcq.-LLf	nítë (*níti-)	dewy; moist; *damp (of weather) (adj)	
"v#xVM4`w0t"	nó (prep)	yester- (prep)	
Cx}nl]x5/e	nóla [ñ-]	learned; wise (adj)	
FMddv9riyh	nóla	knoll; round head; round hilltop (n)	
n7dw^LD67E	nólöa	yesteryear (n)	
gIXBh[}S%d	nótë	number (n)	
"vszS2.y#1Y"	nún	beneath; down below; underneath (adv)	
eoS1vC!1_h	núra; tumba; tumna	deep (adj)	
s2PlkT?+8J	núro	servant (n)	
Qa?L>q:w*.	imman(an); imman(de); oi; quan(an); quá; voro; úlumë	ever (adv)	
JmK~yZ:1V+	oi-	to live; to pass one’s days (vb)	
"y:#VcP*0+A"	oia	everlasting (adj adv)	
cZ^nY6TlNm	ola- (Spatial Relations)	to grow; to grow up; to reach its prime (vb)	
sU64la3lS*	olor	dream; vision (n)	
pVI8UIL<[_	onna (Animals)	creature (n)	
P0O=c[7EZ/	ontarë	begetter; parent (f.) (n)	
L{b@97g.S@	ontaro	begetter; parent (n)	
EO`?(^iXGI	onónë	kinswoman (n)	
vM$O6uf^m!	onóro; rendo; ressë	kinsman (n)	
C[Y*U1cmL	opelë	town; village; walled house; *hamlet; *manor (n)	
LFidtt5EEm	orhal-	to exalt (vb)	
NmA,5H3%1N	ormë	haste; rushing; violence; wrath (n)	
PP+{(kxzl4	orna; tyelca	hasty (adj)	
QwkCY{<a|}	ortima	able to be raised (adj)	
"BC%W#V(L8d"	osellë [þ]	[sworn] sister; associate [f.] (n)	
D%MtsR~~fH	ossë	terror (n)	
viWb^.,]P(	ostirion; osto	fort (n)	
I8HtjP=~T	otornassë	brotherhood; *association (n)	
"s>y,,^h@?#"	otorno	associate [m.]; sworn brother (n)	
u6Q?m7_?W~	palantir	far-seer (n)	
Ko5K-@4O|N	palar	flat field; ‘wang’ (n)	
D)aHaa<2(J	palca-	to beat flat (vb)	
Kohi$i4Y3<	palmë; palúrë	surface (n)	
ecs)gk20O;	palpa-	to applaud (with palms); to batter; to beat; *to clap (vb)	
c>:<SbD*n$	palwa	even; level (adj)	
e$E)fTURZ	palúrë	(Old English) folde; bosom; bosom of Earth (n)	
Ie~f6ijBUy	pamba	ball (n)	
