(a)moth|fen; marsh (n)
lebig; niged|little finger (n)
lech|slide; smooth place (n)
lectha-; maegra-|to sharpen (vb)
ledh-|to *travel; to go; to journey (vb)
ledia-|to open; to unlock (transitive) (vb)
ledil|key (n)
lefnui; levnui|fifth (ordinal)
legol|[Ilk.] nimble; active; running free (adj)
leg|keen; piercing; sharp (adj)
leidhron|liberator; saviour (n)
leinas|freedom; liberty (n)
leithia- (Possession and Trade)|to set free (vb)
leithia-|to release (vb)
leithian (Possession and Trade)|freeing; release (n)
leithian|release from bondage (n)
lembas|journey-bread; waybread (n)
lemfin|halved; in half (adj)
lemma-|to beckon; to crook the finger (vb)
lempachùn|wishbone (n)
lendri; toled|arrival; coming (n)
lend|tuneful (adj)
lenia-|to make a noise; to sound (vb)
lenwin|a stranger (fem.); ‘arrival’ (n)
lephaen|fifty (cardinal)
lest|*belt; girdle (n)
lethril|eavesdropper (f.); hearer; listener (n)
lethrin|peril(o)us; slippery (adj)
leth|therewith; with it; withal (adv)
leutha-|to pick (up/out) (vb)
lhab-|to *sip; to sup (vb)
lhab|sip (n)
lhaden|flat; smooth (adj)
lhaew|ill; sick (adj)
lhain|lean; meagre; thin (adj)
lhalwen|elm-tree (n)
lham(b)|tongue (n)
lhassa-|to hear (vb)
lhaw|ears (of one person) (n)
lheweg|ear (n)
lhid-|to discriminate; to sieve; to sift; to sort out (vb)
lhig-|to creep; to do or go by stealth; to sneak (vb)
lhim(p); limp; mesc; mesg; nenui; noth; nîd; nîn (adj)|wet (adj)
lhim|gliding; sleek; sliding; slippery (adj)
lhind (n)|arrow (n)
lhind; thlind; trîw (adj)|fine (adj)
lhing|cobweb; spider’s web (n)
lhoeg|keen (adj)
lhoereb|poisonous; venomous (adj)
lhoer|poison(ousness); venom (n)
lhoew|poison(ous substance) (n)
lhongannas|phonology; (lit.) shapes of sounds (n)
lhongant|allophone; surface sound; (lit.) sound-shape (n)
lhunc|gullet; pharynx (n)
lhuth|spell (n)
lhê|fine thread; spider filament (n)
lhîd|sieve (n)
lhîw|disease; sickness (n)
lhôn|*phone (in linguistics); speech sound (n)
lhûg|*lizard; reptile; serpent; snake (n)
lhýda-|to make sick; to sicken (vb)
lillir|a song; lullaby (n)
liltha-|to dance (vb)
lilt|dance (n)
lim (adj)|quick; swift (adj)
lim (n)|bundle; sheaf (n)
limfelis|drink of the fairies (n)
limig|[small] drop; drop of water (n)
limlug|fish-dragon; sea-serpent (n)
limmeg|small fry; young fish (n)
limmid(a)-|to moisten (vb)
limp (adj n)|(bright/clear/gleaming) liquid; clear; sparkling (adj n)
lind|chant; singing (n)
linna-|to chant; to sing (vb)
linnas|music (n)
linnathren|musical (adj)
linnod|type of poetic meter; (lit.) ?seven-chant (n)
linnor|singer (n)
linn|chant (n)
linthanin|playing or music of instruments (n)
liscaloth|reed grown; reedy (adj)
lisg|reed; sedge (n)
liss; narthol|fragrant (adj)
lissuin|a fragrant flower (n)
lista-|to kindness; to show grace (vb)
listo|please! (interj)
list|favour; grace; kindness (n)
lithin|bygone; ended (adj)
lithra-|to become silent; to cease speaking (vb)
lithui|ash-coloured; ash[en]; ashen; ashy; of ash (adj)
lith|ash; sand (n)
liv-|to drip (vb)
lo (conj)|while (conj)
lo; lô (n)|flood (n)
lob-|to *lope; to gallop (of animals); to run (vb)
lobor|[heavy riding] horse (n)
lobrob|gallop; sound of horse’s feet (n)
loch|ringlet (n)
loda- (Body Parts and Functions)|to gulp down; to swallow (vb)
loda- (Motion and Transportation)|to float (vb)
loen|soaking wet; swamped (adj)
loetha-|to bend; to curl; to twine; to wind (vb)
loeth|coil; spiral; tendril; twist (n)
loew|moss (n)
log-|to drag; to haul (vb)
logra-|to cower; to stoop; to submit (vb)
logren|*bending; curled; curly; looping (adj)
logrifidhrin; logrifindel|curly haired (adj)
logweg|intricate; meandering; twisting; winding; (lit.) apt to bend (adj)
lom|*tired; weary (adj)
lonc|curl (n)
lond|(land-locked) haven; narrow path; pass; strait (n)
lonn|(land-locked) haven; pass (n)
loph|(small) chunk; clump; nugget; tidbit (n)
lor-|to dream (tr.); to sleep; to sleep deep; to slumber (vb)
lorn|asleep (adj)
lortha-|to put to sleep; to send to sleep (vb)
losbas|ryebread (n)
losc; losg|rye (n)
loss (Physical World)|snow (n)
lossen|snowy (adj)
loss|bloom; blossom (n)
lost; nil|empty (adj)
losta-|to bloom; to blossom (vb)
lostad|blooming; florescence (n)
lothalan|raft; (lit.) floating platform (n)
lotheg|*floret; single [small] flower (n)
loth|flower; head of small flowers; inflorescence; lily; single blossom (n)
loven|echoing (adj)
lu; lû|occasion; time (n)
luig|minute; moment (n)
luin|blue (adj)
luithia-|to quench (vb)
lui|*bruise; blueness; livid mark; livor (n)
lulwi|a lullaby (n)
lumba|overcast (adj)
lummor|foul weather (n)
lumren|overcast; shady (n)
lum|*a thing blocking light; [dark] cloud; cloud; shade (n)
lung (adj)|grave; heavy; serious (adj)
lung (n)|heavy (n)
lung (n, Sense Perception)|grave; serious (n)
lungra-|to bear on; to hang heavy; to weigh (vb)
luntha-|to balance; to weigh (vb)
lunthang|balance; scales (n)
lunt|boat (n)
lur-|to frown; to scowl (vb)
lurc|a frown; scowl (n)
lurlos|poppy; (lit.) flower of sleep (n)
luv-|to hang; to lower (of clouds) (vb)
lígu|candle (n)
lín|*thy (pron)
lítha-|to (intr.) to be lost; to forget; to let slip; to lose; to mislay (vb)
lîdh|journey (n)
lîf|*joint; link (n)
lîg|wax (n)
lîn|mere (n)
lîr; tî|line; row (n)
lî|a crowd of folk; folk; many people; people (of one kind or origin); ‘they’ (n)
lóran|seasonal year; (lit.) growth-cycle (n)
lô; nen (Physical World)|lake (n)
lôda-|to beguile; to caress; to smooth out; to soothe; to stroke (vb)
lô|fenland (n)
lúda-|to *happen; to come to pass; to occur; to pass (of time) (vb)
lútha-|to enchant (vb)
lúthad|enchantments; sorcery (n)
lûb|(fat) flesh; fat (n)
lûg|bend; deceit; guile; loop; twist (n)
lûr|sleep; slumber (n)
lûth (Agriculture and Vegetation)|blossom; inflorescence [on a single plant] (n)
lûth (Religion and Beliefs)|charm; spell (n)
lŷg|snake (n)
mab (Body Parts and Functions)|hand(s) (n)
mab-|to *grasp; to grab; to seize (vb)
mab; manc|grasp (n)
mabed-|to ask [a question] (vb)
mablanthos|sycamore (n)
mablod|palm of the hand (n)
mabrenas|dexterity (n)
mabren|dextrous; handed; having hands (adj)
mad-|to eat (vb)
madha|mud (n)
madheg|something (n)
madhias|pliancy; softness (n)
madhin; nodui|some (adj)
madhir|someone (f.) (n)
madhon|someone (m.) (n)
madhren|muddy (adj)
madriol; madui|edible (adj)
madriol|fit for food; wholesome (adj)
madweg|gluttonous (adj)
mae (adj)|pliant; soft (adj)
mae (adv adj)|admirable; excellent; well (adv adj)
maeas|dough (n)
maecheneb|sharp-eye[d] (adj)
maed (Emotion)|*pretty (adj)
maed (Physical Acts and Materials)|handy; skilled; skillful (adj)
maedol|welcome (adj n)
maeg|*penetrating; piercing; sharp (adj)
mael (adj)|well (adj)
mael (n adj)|stain; stained (n adj)
mael (n)|lust (n)
maeligeb|rich; wealthy (adj)
maelig|abundance; wealth (n)
maelui|lustful (adj)
maen (adj)|clever; skilled (adj)
maen (n)|a treasure (n)
maenas|art; craft; handicraft (n)
maenor|craftsman (n)
maeras|goodness (n)
maeron|artist (n)
maer|excellent; fair; fit; good (of things); useful (adj)
maeth (Social Relations)|management (n)
maeth (Warfare and Hunting)|fight (n)
maetha- (Physical Acts and Materials)|to deal with; to handle; to manage; to treat; to use; to wield (vb)
maetha- (Warfare and Hunting)|to fight (vb)
maethas|*authority; control (n)
maetheb|having control or authority (adj)
maethon|snuffling (adj)
maew|gull (n)
maf|sheep (n)
maga-|to forge metal (vb)
magor|swordsman (n)
magradh-|?to smell (vb)
maidhon|midday (n)
maidh|fallow; fawn [light yellowish tan colour] (adj)
maien; mairien|better (adj)
maimelion|dearly beloved (adj)
main (adj)|chief; pre-eminent; prime (adj)
main (adv)|better (adv)
maint|*better (adv)
mairos|long hair; mane (n)
mair|precious (adj)
maithod|rapture (n)
maith|goal; intention (n)
mai|well (adv)
malcwed|lordly (adj)
malen|wan; yellow; yellowish (adj)
mallorn|gold tree; yellow tree (n)
mallos|golden flower (n)
mallú|(orig.) what time; when (adv)
malthen|of gold [metal] (adj)
malthos|butter cup (n)
malt|gold (as metal) (n)
malu|fallow (adj)
mam|grandmother (n)
manadh|doom; final bliss; final end; fortune (n)
manc|grip; hold (n)
mang|butter (n)
mann; math|food (n)
man|*what; who (pron)
mar(o)n|ripe (adj)
mara|sand (n)
marn|?ripe (adj)
maroglin|daffodil; yellow song (n)
masta-|to [put to] feed; to feed; to graze (vb)
mastir|*shepherdess (n)
mast|feed; fodder; food; nourishment (n)
matha-|to feel; to handle; to stroke (vb)
mathad|appraising; assay; caressing; feeling; handling; stroking (n)
maudra-|to be early; to be preferred; to come first; to prefer (vb)
maudrin; maurin|betimes; early; premature; up early (adj)
maudri|early morn before dawn; time before first meal (n)
maudro|earlier; rather; sooner (adv)
maul (Animals)|bellowing; the lowing of cattle (n)
maul (Food and Drink)|flour (n)
maur|gloom (n)
maus|pleasant; pleasant taste; pleasure (n adj)
mau|early; soon (adv)
mav-|to like (vb)
mavor|appetite (n)
mavras; mavros|desire; eager longing (n)
mavren; mavrothwed|delectable; delightful; desireable (adj)
mavron|herdsman; shepherd (n)
mavuin; mavwin; mavwen|ancestress; †mother (n)
mawedh|glove (n)
mawr; môr (adj)|good (adj)
ma|excellent; good; that’s right (interj)
me-|1st-plural pronoun; we (pron)
mechor; naith|gore (n)
medhia-|to knead; to soften (vb)
media-|to feed (vb)
medion|eater; feeder (n)
medlin|*bear-like (adj)
medlivorn|blackbear (n)
medli|(lit.) honey-eater (n)
medui|end; final; last (adj)
megil|longsword (n)
megr|sharp-pointed (adj)
meg|(esp.) mole; any small animal (n)
meidianweb|worthy of being eaten (adj)
mein; minui|first (ordinal)
meiras|preciousness; value (n)
meitha-|to *have as a goal; to aim at (vb)
meithas|meaning (n)
mel-; mela-|to love (vb)
melch|greedy (adj)
meldir|friend [m.] (n)
meldis|friend (f.) (n)
meleth; mîl|love (n)
melethel|darling; sweetheart (n)
melethor; melethril; melethron; seron|lover (n)
melethril|lover (f.) (n)
melethron|lover (m.) (n)
melillin|(orig.) yellow song; daffodil (n)
melingarn|orange; tawny (adj)
mell; meltha|beloved; dear (adj)
mellavan|pet; (lit.) love-animal (n)
mellon|friend (n)
melui|lovely (adj)
men (pron)|us (pron)
men-; mútha-|to go (vb)
men; sad (n)|*place (n)
meneg|*large in number; thousand (cardinal)
menel|firmament; region of the stars; the heavens (n)
mengui|thousandth (ordinal)
menna-|to (lit.) make go; to send (vb)
ment (Language and Music)|message (n)
ment; nass; nel; teb; till (Spatial Relations)|point (n)
mer-|to desire; to want (vb)
meren|festive; gay; joyous (adj)
mereth|feast; festival (n)
merifind|Black-haired (adj)
meril|rose (n)
mertha-|to gladden; to make happy (vb)
meru|valuable; worthy (adj)
meth; methed; nel; tele (n)|end (n)
meth; tell (adj)|last (adj)
methal|footstep (n)
me|we (exclusive) (pron)
mib-; mítha-|to kiss (vb)
mib|(little) kiss; peck (n)
midh|drizzle (n)
miginthi|littleness (n)
migligen; tidig|little (of amount) (adj)
milbar|beloved dwelling [place]; dear home (n)
milf|greed (n)
milt|semen (n)
milui|friendly; kind; loving (adj)
mim|gum (n)
min (cardinal)|one; single (cardinal)
min (n)|peak (n)
minai|distinct; single; unique (adj)
minas|city (with a citadel and central watch tower); fort; tower (n)
mindon|isolated hill (especially a hill with a watchtower); tower (n)
minib|eleven (cardinal)
minlamad|?alliteration; (lit.) first-echoing (n)
minna-|to enter; to go in (vb)
minn|?one (cardinal)
minol|ingot (n)
mintha|in one place; together; ūna (adj)
minuial|(dawn) twilight (n)
mirian|Gondorian coin (n)
mirith|jewelry (n)
mirtha-|to cherish; to esteem; to treasure; to value (vb)
miruvor|a special wine or cordial (n)
miru|wine (n)
mirwelthen|*(lit.) wine pressing; vintage (n)
mirybin|grape; (lit.) wine-berry (n)
mista-|to stray about (vb)
mistrad|error; straying (n)
mist|error; wandering (n)
mithril|Moria-silver; true-silver (n)
mith|light grey; pale grey (adj)
mivan|where; (lit.) in/at what (adv)
mi|*in (prep)
modog|*a large number (adj)
modra-|to count; to measure (vb)
modri|measurement (n)
modrog; modron|rich man (adj)
modwen|a large number (adj)
mod|a number; figure (n)
moir|goods (n)
mol-|to grind; to pulverize (vb)
molif|wrist; (lit.) hand-link (n)
molnel|molar (n)
molor|mill (n)
morchant|shadow cast by light; (lit.) dark shape (n)
mord|man; †shepherd (n)
morgul|black arts; necromancy; sorcery (n)
morn; môr (adj, Sense Perception)|black (adj)
mornechui|coffee (n)
morn|black; dark (adj n)
moth; tinnu|dusk (n)
mothren|dusk; dusky (adj)
mothwen|1000; †flock (n)
movan|how; (lit.) by means of what (adv)
mo|by (agent of) (prep)
mu; mutha|am about to; am going to; will (prep)
muda-|to *work; to labour; to toil (vb)
mug-|to keep silent; to say nothing (about) (vb)
mugol|taciturn (adj)
mui (Food and Drink)|crumb (n)
mui; muig (n)|cat (n)
muia-|to caw; to meow; to moan; to whimper; to whine (vb)
muig (adj)|gentle (adj)
muil|drear[iness] (n adj)
muin (adj)|dear (adj)
muin (n)|cattle; kine (n)
muinos; uchir|security (n)
muinthel; nethel; nethig; nîth; thêl|sister (n)
muint|best thing (n)
muir; muthli|heifer (n)
muis|gentleness; softness; tenderness (n)
mul-; mum-|to bellow; to low (vb)
mumla-|to gibber; to stammer (vb)
mumloth|stuttering (n)
mumol|gibbering; inarticulate; stammering (adj)
munc|(aj.) mum; secretiveness; shut mouth; silence (n)
mund|bull (n)
munneg|calf (n)
munnost|byre; cowhouse (n)
murc|a nightmare; vision of the night (n)
muthra-|to veil (vb)
mâd|meal (n)
mâf|pile or mass of rock or earth (n)
mâl|pollen; yellow powder (n)
mân|departed spirit (n)
mínem|motion picture; movie (n)
mín|our (pron)
mírad|treasury (n)
mírdan|jewel smith (n)
míria-|to sparkle like jewels (vb)
míriel|like a jewel; sparkling like jewels (adj)
mîdh|*moisture; damp(ness); dew (n)
mîg|among (prep)
mîl|affection (n)
mîn (Motion and Transportation)|motion (n)
mîn (Spatial Relations)|[thing] between; anything intervening between two other things; barrier; gap; space (n)
mîr|jewel; precious thing; treasure (n)
mîw|frail; tiny (adj)
mî|(to the) inside; into (adv prep)
môl|the (inside of the) mouth (n)
môna; môni|spirits of the air (n)
môn|bare hill; knoll (n)
môr (n)|dark(ness); †night (n)
mútha-|to (c. gen.) leave the place of/time of/speaker; to depart; to go forward; to leave (vb)
mûg|dung (n)
mûl|slave; thrall (n)
mûm|lowing (n)
mûn|womb (n)
na (Grammar)|accompanied by; along with; associated with; by; marked with; provided with or by; with (prep)
na(n)|associated with; marked with; provided with or by (prep)
na-|to be (vb)
nab-|to lay hold of; to take (vb)
nabant|almost; (lit.) towards full (adv)
nabas; naboth|seizure (n)
nabor; naw|booty (n)
naden|as far as; until; up to (prep)
nadh-|to chew; to gnaw (vb)
nadha|fetter (n)
nadhor; nadhras|pasture (n)
nadren|possible (in sense possible to exist or think of); real (adj)
nad|thing (n)
naeag|goat (n)
naeda-|to cause great grief to (vb)
naedh|wounding (n)
naed|real; true (adj)
naegos|anguish (n)
naegra-|to pain (vb)
naeg|pain (n)
naena-|to lament; to make moan for; to wail for (vb)
naeras|sorrow; woe (n)
naergon|woeful lament (n)
naer|lamentable; unendurable (adj)
naeth (Body Parts and Functions)|biting; gnashing of teeth (n)
naeth (Emotion)|biting; gnashing of teeth; woe (n)
naew|jaw (n)
nae|alas (interj)
naf-|to have inkling of; to suspect (vb)
nafa; nôf|inkling; suspicion (n)
nafol|suspicious (subjective) (adj)
nafra-|to nose about in others’ business (vb)
nag-|to bite; to chew; to gnaw (vb)
nagnel|incisor (tooth) (n)
nail; nelui|third (ordinal)
naithol|miserable (adj)
naithonwi|misery (n)
naith|narrow prominitory; spearhead; wedge (n)
nala|(yellow) lily (n)
nalla-|to cry (vb)
nalla; nallan; nallar; nalloth|call (n)
nam-|to (intr.) withdraw; to draw back; to draw out; to retire; to take back; to withdraw (vb)
naman|how; (lit.) with what (adv)
nan(d)|dale; vale; valley; wide grassland (n)
nana|*mommy; mother (hypocoristic) (n)
nanc|bite (n)
nand; nann (Agriculture and Vegetation)|field acre (n)
nand|dale (n)
nann (Physical World)|dale; wide grassland (n)
nanu|truth (n)
nanweg|*farmer (n)
nanwen; thand|true (adj)
nara-|to tell (vb)
narcha-; rista-|to rend (vb)
narch|bitter-biting (adj)
narcos|decay; rot (n)
nardh|knot (n)
narn|saga; tale (n)
narog|torrential; violent (of water, rain, etc.) (adj)
narphen|character [in a story] (n)
nartha-|to *ignite; to inflame; to kindle; to set fire to (vb)
narthan|beacon (n)
narthiel|fragrance (n)
narthol; úlren|odorous (adj)
narth|list; (lit.) product of recitation (n)
naru|[fiery] red (adj)
narvaenas|firework (n)
nass|(sharp) end; corner (n)
nasta-|to point; to stick; to thrust (vb)
nast|being (abstract); being (creature); being (used for both a creature and the state of existence) (n)
natha-|to bring help to; to rescue; to save (vb)
nathal; othol|guest (n)
nathanwi|fatherhood (n)
nathla-|to welcome (vb)
nathol|affable; kindly; welcoming (adj)
nathren|agreeable; welcome (adj)
nathron|weaver; webster (n)
nath|web (n)
naub|thumb (n)
naud (adj)|bound (adj)
naud (n)|treasure (n)
naudra-|to abash; to make ashamed (vb)
naug|dwarf(ed); stunted (n)
nauin|dwarf (adj)
naur (adj)|grumbling; ill-tempered; sour (adj)
naur (n, Emotion)|a snarl; ugly grin (n)
naur (n, Physical World)|fire; flame (n)
naus|keen-witted; notice; observant (adj n)
nauth; nuin|thought (n)
nautha-|to conceive (vb)
navan|to where; where; whither; (lit.) at/to what (adv)
naw (interj)|yes (interj)
naw (n)|idea (n)
ne-|in (pref)
nectha|honey comb (n)
nederphaen|ninety (cardinal)
neder|nine (cardinal)
nedh-|mid- (pref)
nedhor|mid-day; noon (n)
nedhu; nef|bolster; cushion (n)
nedhwad|lunch; (lit.) middle-meal (n)
nedia-; nod-; nœdia-|to count (vb)
nedrui|ninth (ordinal)
ned|*one more (n)
nef (prep)|*near; hither; on this (the speaker’s) side of; †beyond [loose translation] (prep)
negen|angular; sharp (adj)
neibio|almost; nearly (adv)
neitha-|to deprive; to wrong (vb)
neithan|exile whose rights and goods have been confiscated; one deprived (n)
nel-|tri- (pref)
neldor|beech (n)
neledh-|*to go in; to enter (vb)
neledh|three (cardinal)
nelio|buckwheat (n)
nella-|to *ring; to sound (of bells) (vb)
nelladel|ringing of bells (n)
nellad|ringing; sound of bells (n)
nelluin|bluebell (n)
nell|bell (n)
nelphaen|thirty (cardinal)
nelthil|triangle (n)
nel|jutting end; tip (n)
nem (adj)|evident; probably but not necessarily so; seeming (adj)
nem; teb (n)|nose (n)
nemmas|evidence (n)
nen(n)|river; stream; water (n)
nendil; nennil|waterfay (n)
nend|watery (adj)
nennibis|waterlily; (lit.) water snowflake (n)
nen|(lesser) river; stream; water (n)
nepheg|mid-point; (lit.) mid-spot (n)
nermil|a fay that haunts the meadows and riverbanks (n)
ness|(water) meadow; *headland; long grass (n)
nest; nesta; nethra|?heart; core (n)
nesta-|to heal (vb)
nestad|healing (n)
nestag-|to insert; to stick in (vb)
nethan-|to inspire; to kindle inside (vb)
nethia-|to (orig.) to make welcome; to entertain (vb)
nethig|girl (diminutive) (n)
nethor|flock; herd (n)
neth|(little) girl (n)
nev-|to appear; to seem (vb)
nevia-|to bring close; to localize; to translate (into another language when used with the dative case); to translate (into your own language) (vb)
nevra-|to face; to go forward (vb)
nevui|nearly (adj)
neðw|bruised; scarred (adj)
ni (prep)|without (both senses) (prep)
ni-|1st-singular pronoun (pron)
ni; ni- (pron)|I (pron)
niben|*small; petty (adj)
nibis|snowflake (n)
nich|frost (n)
nidh-; thel-|to will (vb)
niel; siel|granddaughter (n)
nifred; niphred|pallor (n)
nifredil|(green) snowdrop; *(lit.) pale point (n)
nigol|mouse; (lit.) small one (n)
nigren|(orig.) mouse-like; stealthy (adj)
nigrim|to swarm (n)
nilta-; niltha-|to empty (tr.) (vb)
nim; nimp|white (adj)
nimmas|whiteness (n)
nimmid(a)-|to whiten (vb)
nimp|pallid; small and frail; wan (adj)
nind; ninn|blue stone; turquoise (n)
ninghonin|*snowdrop (n)
ninglor|*yellow iris; golden water-flower (n)
niniel|tearful (adj)
ninion|water lily (n)
ninna-|to *cry (tears); to weep (vb)
nin|me (pron)
nion|bee; grandson (n)
niosturwin|queen bee (n)
niphredil|*(lit.) pale point; white flower (similar to a snowdrop) (n)
nirnaeth|lamentation; tears (n)
nir|grandchild of (pref)
nista-|to force (in a given direction); to press; to thrust (vb)
nivol; nîf|a seeming; phantom (n)
niwrim|swarm (n)
nobad|*(lit.) pickers; thumb and index finger as a pair (n)
nobra-|to go after (vb)
nobromath; nuimoth|first signs of dawn; ‘second twilight’ (n)
nobron|next following; the second (n)
nod-; taetha-|to tie (vb)
noden|face down; prone (adj)
nodro|again; farther on; further forward; later (adv)
nodui|few; several (adj)
nod|forward; in advance; on (adv)
noen|sensible (adj)
nogen|*(orig.) short (of persons); boy; lad; urchin (n)
nogra-|to exceed; to excell (vb)
nogriol|conspicuous; excellent (adj)
nontha|the next; the succeeding (time only) (adj)
nor-|to roll; to roll [of vehicles]; to run; to run (or leap) of animals or men (vb)
nordh|cord (adj)
norn (adj)|contorted; crabbed; knotted; twisted (adj)
norn (n)|wheel (n)
norna-|to complain of (vb)
nornad|complaint (n)
noroth; ulvon|giant (n)
northa-|to *ride; to make run; to send rolling; to send rolling [as a vehicle]; to speed (vb)
north|charge or gallop; race (of people running); riding (n)
norweg|often running (adj)
nos(s)|clan; kindred; race; tribe (n)
noss (Social Relations)|clan; ‘house’ (n)
noss; oronnad|birthday (n)
nosta-|to smell (vb)
nos|kin (n)
noth (adj)|damp (adj)
noth (n)|rain (n)
nothlir|folk (n)
novaer|farewell; goodbye; (lit.) be well (interj)
no|after(wards); again; next; then (adv)
nufleg; nuthleg|keen-nosed (adj)
nufli; nufri|sense of smell (n)
nuicha-|to *(orig.) to smell [something]; to perceive; to take notice (vb)
nuidro|still later (adv)
nuinvrond|steadfastness (n)
nuin|mind (n)
nuir; orvedui|yesterday (n)
nuitha-|to not allow to continue; to prevent from coming to completion; to stop short; to stunt (vb)
nui|before (of time) (prep adv)
nunna-|to *agree; to *nod; to assent; to bend face down; to incline head (vb)
nuru-|to growl; to grumble (vb)
nusiothli|sagacity (n)
nu|under (prep)
nâla|yellow-lily (n)
nâr|rat (n)
nída-|to cry (tears); to weep (vb)
nídha-|to be determined to (vb)
nín|my (pron)
nírnaeth|lamentation (n)
nírol|*sorrowful; sad; sorrowing (adj)
nítha- (Physical World)|to hail (vb)
nítha- (Spatial Relations)|to make small; to reduce (vb)
níthannen|to minor; to reduced (vb)
níwost|hive (n)
nî-|to was (vb)
nîdh (Food and Drink)|honeycomb (n)
nîdh (Mind and Thought)|exertion of will; full vigorous purpose (n)
nîd|damp; tearful (adj)
nîf (Spatial Relations)|face; front (n)
nîn (adj)|*watery (adj)
nîn (n)|tear; weeping (n)
nîr|grief; sorrow; tear; weeping (n)
nîw|bee (n)
nî|at one time; once; was (adv)
nîð|bruised; hurt (adj)
núnad-|to wester (vb)
núnadol|westering (n)
nún|going down; sinking; west (n)
nûr; thlim (n)|race (n)
nûr; tovn (adj)|deep (adj)
nŷw|noose; snare (n)
o(r)dhraust|without work; workless (adj)
o(r)ngolodh|without gnomes (adj)
o-|he (conj)
obin|next; second (adj)
obron|*next (adv)
obruith|(evil) consequences (n)
ochui; odothui; othui|seventh (ordinal)
och|egg (n)
od; og|sharp corner (n)
odhril|parent (f.) (n)
odhron|parent (n)
odinthos; paenodog|seventeen (cardinal)
odlad; oglad|week (n)
odo; odog (cardinal)|seven (cardinal)
odog (adj)|abundant; exceeding; great; large in quantity; much; very; violent (adj)
odophaen|seventy (cardinal)
odra-|to am able; to can (vb)
odrim|(very) many (adj)
odrog; odron|a brave man; brave; dour; mighty; stout (adj n)
oel; ring|cool (adj)
oer|nasty (adj)
oetha-|to lay eggs; to nest (vb)
oew|an evil deed (n)
oglas|*evil; wickedness (n)
ogod|knee (n)
ogol|evil; gloom(y); wrong (adj)
ogra-|to be able; to can (vb)
ogra|able to (prep)
ogriol|possible (adj)
ogron|wicked or evil person (n)
oith|feud (n)
ol-|to pour (vb)
ol; ôla|cliff; seaward precipice (n)
ola-|to become (vb)
oland|motion of sea; tide (n)
olaud|motion of the sea; tide (n)
olerdh|pitiless; (lit.) without bowels (adj)
olfin(g)|stick; wand (n)
olf|*pitcher; flagon; jar (n)
olla-|to *trickle; to ooze (vb)
oll|mountain-stream; torrent (n)
olor; ôl (Body Parts and Functions)|dream (n)
olor|apparition; vision (n)
olost|dreamy; drowsy; lazy (adj)
oltha-|to appear as an apparition; to dream (vb)
olui|dreamy (adj)
oman|from where; whence; (lit.) from what (adv)
omla|a horse chestnut (n)
omlos|(horse) chestnut tree (n)
oneth|*giving (n)
onna-|*to birth; ?to beget; to give birth to; to make born (vb)
onnad|birth (n)
onnen|born (adj)
ontha; tîn|his (pron)
ont|no; none (adj adv)
on|*he (pron)
or (adv prep)|(av.) on; (prep.) on; on top; onto (adv prep)
or (prep)|above; onto (prep)
or- (Time)|-day (pref)
or-|-less; privative prefix; without (pref)
ora-|to heat up (vb)
orann|doorless (adj)
orchal|eminent; superior; tall (adj)
orchen|dandelion; (lit.) day-eye (n)
orch|Orc; goblin (n)
ordarn|gateless (adj)
oren|hot (weather) (adj)
orerdh|pitiless; without bowels (adj)
oreth|hour (n)
orfang|beardless (adj)
orfing|*(lit.) hair-apple; pear (n)
orf|apple (n)
orhaud; orhod|seatless (adj)
ormagodron|a (Spanish) chestnut tree (n)
ormagod|a (Spanish) chestnut (n)
ormar|houseless (adj)
ormast|breadless (adj)
orna-|to burn (tr. and intr.) (vb)
ornath|numberless (adj)
orn|(tall straight) tree (n)
orodben|mountaineer; one living in the mountains (n)
orod|mountain (n)
orost|sunrise (n)
oroth (Emotion)|anger; rage (n)
oroth (Time)|haste; impetus; rash courage; speed (n)
orsarn|stoneless (adj)
ortha-|to raise (vb)
orthad|*raising (n)
orthalos|courageless (adj)
orthanc|continuous; masked; unbroken; united; without break or cleavage (adj)
orthannen|raised (adj)
orthel-|to roof; to screen above (vb)
orthelian; teloth|canopy (n)
orthor-|to conquer; to master (vb)
orth|upper (adj)
orvab|handless (adj)
orvaith (Clothing and Adornment)|garmentless (adj)
orvaith (Law and Judgment)|unravished (adj)
orvang|staffless (adj)
orvath|foodless (adj)
orvel-|to *(lit.) love above; to favour (vb)
orvlann|without deceit (adj)
orvlod|spiritless; without pride (adj)
orvog|priceless (adj)
orwadh|barkless (adj)
os-|about (pref)
osgaef|environs; milieu; surroundings (n)
osgar-|to amputate; to cut round (vb)
ospathol|ebullient (adj)
ospoth|froth (n)
osp|smoke (n)
oss|moat; outer wall (with moat); town wall (n)
ost (n)|(fortified) town; [orig.] enclosure; citadel; city; enclosure; fort; fortress; stronghold; town (with wall round); yard (n)
ost (pron)|yourselves (pron)
osta-|to build up; to fortify; to surround; to surround with walls (vb)
ostol-|to circumnavigate; to come around (vb)
ostor|*town wall; circuit of walls; enclosure (n)
os|*about; *around (prep)
oth-|[wrong] with a bad sense; bad; improper; unsuitable; useless; wrong (pref)
othas|warfare (n)
othestannen|infamous; of evil name; (lit.) ill-named (adj)
othgar(ed)|*wrong doing; doing wrong (n)
othgarn|*sin; misdeed (n)
othidh|armistice (n)
othlonn|paved way (n)
othol|stranger (n)
othovor|(lit.) abundant in a bad way (adj)
