(be)bilfir|conscience (n)
thuctha-|to adhere to; to cleave (vb)
thugli|resin (n)
thuif; thuith|any adhesive substance; resinous juice (n)
tibli|sleet (n)
tifin|small flute (n)
tigla-|to prick (vb)
tiglas; tiglath|remorse (n)
tilithli|little elf (n)
tilithril|f. elf (n)
tilithrin|elfin (adj)
tilithron|m. elf (n)
timpa-; timpintha-|to jingle; to ring; to tinkle (vb)
timpi|little bell (n)
timp|hoot; note of a flute (n)
tim|(star); gleam (n)
tinc|a flicker (n)
tintiltha-|to twinkle (vb)
tinwin|a small star (n)
tinwithli|constellation; group of stars; star-cluster (n)
tion|a straight line (n)
tir-|to await; to expect; to look (out) for; to watch for (vb)
tirin|turret (n)
tisca-|to tickle (vb)
tisc|ticklish (adj)
togli|cap (n)
tol|isle (with high steep coast) (n)
torc|a sear; mark of a burn (n)
torn|dark-brown; sunburnt; swart (adj)
torod|violent (adj)
tram|bridge (n)
tranc|at cross purpose; criss-cross; cross; crossed; perverse (adj)
trantha-|to cross (tr. and intr.); to mark with a cross (vb)
trath|ford; passage (n)
tricthon|(fibrous fine) root (n)
trug|convenient; docile; easy to handle; tractable (adj)
tub-|to cover (vb)
tubla-|to hide (intr.) (vb)
tubrin|hidden (adj)
tufrin|fluffy (adj)
tuf|down; fluff (n)
tug-|to arrive; to be convenient; to chance on; to find; to fit; to hit; to light on; to occur; to reach mark; to suit; to ‘do’ (vb)
tuig|sapling; shoot; sprout (n)
tuilir|spring(time) (n)
tuim|steam (n)
tuitha-|to gush; to spring; to sprout (vb)
tul-|to bring; to come to (vb)
tulga-|to comfort; to confirm; to make firm; to steady (vb)
tulog; tulug|firm; steady (adj)
tultha-|to carry; to lift (vb)
tumbol|excavated; valley-like (adj)
tumla-|to excavate; to hollow out (vb)
tump|shed (n)
tum|hollow (n)
tunc|arrival; chance; hit at shooting; luck; occurrence (n)
tund|log for the fire (n)
tungol|knowing; wise (adj)
tung|a thought; an idea (n)
tur-|can; to have power to (vb)
turioth|kingship (n)
turm|authority; rule; strength (n)
tusc; tustarol|inflammable (adj)
tusc|explosive; irritable; touchy (adj)
tusta-|to burn (tr.); to inflame (vb)
tuthli|match (n)
tuthlos|a teazle (n)
tuth|tinder (n)
tâl (tald-)|foot (n)
târ|horn (n)
tê|line; mark; path; track (n)
tîf|bitterness; ill feeling; resentment (n)
tîl|cicatrice; healing of a wound; scab (n)
tîr; tûr|king (n)
tî|line; straight (adj n)
tôb(a)|fashion; shape (n)
tôdhi|paddock (n)
tôd|hat (n)
tôg|floor (of a house); storey (n)
tôl|mantle (n)
tôn|fire (on a hearth) (n)
tô|wool (n)
tû-|to become; to get; to receive; to take (vb)
tûm|valley (n)
tûs-|to comb out; to tease wool (vb)
ub (Grammar)|no; none (adj)
ub (Sense Perception)|damp; moist; wet (adj)
ubra-|to rain (vb)
ubri|rainfall (n)
uchirin|secure (adj)
uchirthol|reckless (adj)
uchir|carelessness; recklessness (n)
udathnarol|countless; innumerable (adj)
udathriol|countless (adj)
udrug|intractable; untamed (adj)
uf (n)|down; fine wool (n)
uf (prep)|forth; out of (prep)
uf(f)edhin|one who changes his clan and goes to a new kinship; outcast (adj n)
ufedhron|lawless man (n)
ufedhwed|lawless (adj)
ufestog|breathless (adj)
ufra|outer (adj)
ug-|to negative verb (vb)
ugwedriol|awful; ineffable; unspeakable (adj)
uimoth|whale; (lit.) sheep of the waves (n)
uin|whale (n)
uirol|unwilling (adj)
uista-|to not to notice (vb)
uitha-|to lay eggs; to nest (vb)
ul-|badly; ill; miss-; wrongly (pref)
ulcarm; ulcrum|sin (n)
ulcoth|wickedness (n)
ulc|evil; wicked (adj)
ulin|liquid (adj n)
ulm|flagon; jar (n)
uluch; uluchnir; ulugwin|she-dragon (n)
ulvon|giant; *monster (n)
um; umin|we (pron)
umbath; umboth|nightfall (n)
umbel; umli|a dell (n)
umir|no one (fem.); nobody (n)
um|lowlying (adj)
unath; unt|nothing (n)
unathriol|impossible; unreal (adj)
unaudrathrol|shameless; unabashed (adj)
unc (n)|ear; handle (of a jar) (n)
unc (pron)|ourselves (pron)
ungathos; unthos|eighteen (n)
ungra|eighth (adj)
untha|no; none (adj adv)
unweg|no one; nobody (n)
uptha-|to shout (vb)
urf|apple (tree) (n)
urin|very hot (adj)
urm|brazier; grate (n)
urna-|to blaze; to burn (intr.) (vb)
urtha-|to devise; to fashion; to make; to work; to wreak (vb)
us-; usta-|to depart; to leave (vb)
usb; usc; usg|mist (n)
usfeg-|to release (vb)
ust|cloudy air (n)
uthairiol|unintended; unintentional (adj)
uthra-|to escape; to get away (vb)
uthwen|escape; exit; way out (n)
uvin|eight (n)
u|no; nor; not (adv)
yrin|made (by craft of hand) (adj)
áugwila|sunlit; sunny (adj)
âl|wood (material) (n)
í|indefinite indeclinable relative particle (pron)
îr-|to be willing; to intend to; to mean to; to will (vb)
ôf|hood (n)
ôl (Agriculture and Vegetation)|bough; forearm (n)
ôl (Spatial Relations)|height; stature (n)
ômgulin|patient (adj)
ôm|mind; thought (n)
ôn (Possession and Trade)|gift (n)
ôn (Spatial Relations)|crown of head; top (n)
ôr|dry sand (n)
ôs|bog (n)
ôth|hole; opening (n)
ô|the sea (n)
û-|to not to be; to not to do (vb)
ûgrin|muddy (adj)
ûg|mud (n)
ûl|a ghost (n)
ûmi|large (adj)
ûm|voice (n)
ûna-|to hope (vb)
ûtha-|to emit; to issue (vb)
ûthi|outside (n)
