(a)cainu-; vesta-|to wed (vb)
súyon|daughter’s son; nephew (n)
sú|(noise of) wind (n)
ta (prep)|beside; on; than (prep)
ta (pron)|3rd pl. neut. pronoun; they (pron)
ta-; tea-|*their; 3rd pl. neut. possessive (pref)
tac-; taca-|to fasten; to fix (vb)
tahorme; taorme|mountain (n)
taila|(axe) blade (n)
taime; taimie; tea; telimbo; vaiya|sky (n)
taina; tea; tína|straight (adj)
taitelúme; telume|firmament (n)
taiva; táva|*their; 3rd pl. neut. possessive emphatic (adj)
tal-|to end (n)
tala(no)ite|footed (adj)
tala-|to bring; to carry; to weigh (intr.) (vb)
tala; tál (Body Parts and Functions)|bottom; foot; lowest part (n)
tala; velu; velunte (Motion and Transportation)|sail (n)
talacúme|huge burden; pile (n)
talan (taland-)|burden (n)
talanda; talanya|burdened; sad; weighed down (adj)
talante|scales (n)
talar (talard-)|beast of burden (n)
talas (talast-)|sole (n)
talat|dry land (n)
talca; tongar|smith (n)
talcu-|to glaze (vb)
talda|covered (adj)
talma|end; measure; weight (n)
talme|weight (abst.) (n)
talpa|base; basis; pediment (column); prop; support (n)
talque (talqi-)|glass (n)
talquea|glassy (adj)
talquina|made of glass (adj)
talta-|to burden; to enjoin; to lade; to load charge; to oppress; to weigh down (vb)
talta|shaky; slanting; sloping; tottering; wobbling (adj)
tamarin; tamuril|yew (n)
tambe (tambi-)|bronze; copper (n)
tambin (tambind-)|cauldron (n)
tambina|of copper (adj)
tamilla; tamin|forge (n)
tampo|well (n)
tanca (adj)|(stead)fast; firm; fixed; steady (adj)
tanca (n)|fastening; rivet (n)
tanco|firmly (adv)
tanda (adj)|*that (adj)
tanda (n)|enclosure; hedge (n)
tande|thither (adv)
tange (tangi-)|close; near (adj)
tange|by; close to (adv)
tanta(ra)|bouncing; resilient (adj)
tanta-|to bounce; to bound; to dance (tr.); to dandle; to rebound; to wave (vb)
tantl|shuttle (n)
tantya-|to set bouncing (vb)
tapa-|to extend thin; to stretch out (intr.); to taper (vb)
tapatenda mavoisi|Spanish [chestnut] (n)
tapatenda|light fingered; long fingered; taper fingered (adj)
taqua-|to build; to construct; to fashion; to make (vb)
tar (tár-)|hedge (n)
tara-|to cross; to cross rivers; to go athwart (vb)
tarambo; taran (taramb-)|bang; buffet (n)
tarcele|great system of roots (n)
tarna|crossing; ford; passage (n)
tarqu-|*to dry; to pickle; to preserve (vb)
tarqua-|to dry; to pickle; to preserve (vb)
tarquin(a)|dried; salt meat; salted (n adj)
tarucca|horned (adj)
tarucco; tarucu; yac(c)o|ox (n)
tarucco; tarunco|bull (n)
taru|horn (n)
tarva; tarwa (adj)|tired (adj)
tarva; tarwa (n)|enclosure (n)
tarwesta-|to crucify (vb)
tarwe|cross; crucifix (n)
tas; taxe (taks-)|nail (n)
tasinwa|numbered (adj)
tasta-|to reckon (vb)
taste|fringe (n)
tatya-|to feel for (like tentacles etc.) (vb)
taule (Agriculture and Vegetation)|great tree (n)
taule (Physical Acts and Materials)|pillar (n)
tauma|basis; foundation; ground floor (n)
tauno|(great) forest (n)
tavar (tavarn-)|dale-sprite; fay of the woods (n)
tavas; tavasta (tavast-)|woodland (n)
tayorme|mountain peak (n)
tayóra|*lofty (adj)
tecca; tecte|book (n)
tece-|to mark; to write on (vb)
tecet; tecetta (tekett-)|letter (n)
tectamaqua|having a good ‘hand’ (adj)
tectar|writer (n)
tectele|art of writing; documents; papers; script; scriptures; writings (n)
tel; túpele; túpo (teld-)|roof (n)
telar|brick; tile (n)
telco|stem (n)
telda|having a roof (adj)
telea|*roofed (adj)
telella; telerea|elfin (adj)
telempe; telque|silver (n)
telepta|*silver (adj)
teleste (telesti-)|(f.) little elf (n)
telesto (telestu-)|(m.) little elf (n)
telimbo|canopy (n)
telin (telimb-)|covering; roof (n)
telintule (telintuli-)|bearing a roof; roofed (adj)
telpe (telpi-)|money; silver (n)
telpea; telpia|silvern (adj)
telpilin|silver piece (n)
telpina|of silver (adj)
telpingwe|silverfish (n)
teltasse|awning (n)
telu-|to close; to complete; to cover; to end; to finish; to roof (vb)
telumen|conclusion; finish (n)
telume|(vault of) heaven; the heavens (n)
telusta|extreme; outer; ultimate (adj)
teluste (telusti-)|extremity (n)
telu|close; end (fate) (n)
telwa|late (adj)
telyanta-|to allure (vb)
telyantalya|alluring (adj)
telyantasse|allurement (n)
telya|attractive; importunate (adj)
telúmea|conclusive; end; extreme; final (adj)
telúme|(the great) end; conclusion; finish (n)
tempe|hate (n)
ten-; tunqu-; unqu-|to hear (vb)
tende (tendi-)|feeling; sensation; sense; sense of touch (n)
tendilea|feeling; sentimental (adj)
tendile|feeling; sentiment (n)
teng-|to think (vb)
tenge-|to grasp; to think; to understand (vb)
tengenwa|knowing; sensible; understanding (adj)
tengwe; tingwe|idea; knowledge; thought; understanding (n)
tengwele|sense (n)
tengwet(ta)|idea (n)
tentima|sensitive (adj)
tentl|a feeler (n)
tenya-|to feel; to touch (vb)
ter-|*to pierce (vb)
terendl|lathe (n)
terenwa|shapely; well tuned (adj)
teren|lissom; lithe (adj)
teret (terekt-)|auger; borer; gimlet (n)
tereva|acute (pain); piercing; sharp; shrill (adj)
tessara|maiden; maidenly (adj)
tessare (tessari-)|little maid (n)
tessa|maid; maiden (n)
teste|small worm (n)
tet (tekt-)|mark; spot (n)
teta-|to attract (physical and figurative) (vb)
tetl|small flower (n)
tetse|bud (n)
tettele|burgeoning; efflorescence (n)
teve-|to dislike (vb)
tevin|hated (adj)
texe|attraction (n)
tie|direction; line; path; road; route (n)
til; tila (tiln-)|(single) hair (n)
tilde|peak; point; tip (n)
tildi-; tump-; tupu-|to cover (vb)
tile|single hair (n)
tilinya|downy; hairy (adj)
tille|eyelash (n)
tilt-|to decline; to incline (tr.); to make slope; to make totter; to shake at foundations (vb)
tilta; tiltin|slanting (adj)
tilu-|to shine (blue) (vb)
tilwe|glimmer (n)
tilwindea; tilwínea|shining (adj)
tilwin|bright light; shining light (n)
timbare|forehead (n)
timpa|nozzle of hose; spray (n)
timpe|fine rain (n)
timpina|fine; powdered; sprayed (adj)
timpine; tuista; vinge|spray (n)
timpinen (timpinend-)|fluter (n)
timpínea|full of fine showers; made of spray; showery (of weather) (adj)
tinde (tindi-)|barbed; spiked (adj)
tini-|to gleam; to shine as a star (vb)
tintele|sparkling; twinkling (as of frosty stars) (n)
tintya-; unqu-|to etc. (vb)
tint|(silver) spark (n)
tinwe; íle|star (n)
tiqu-|*to melt; to thaw (vb)
tiqui-|to melt; to thaw (vb)
tiquile|melting; thaw; thawing (n)
tiquilin (tiqilind-)|melting snow; slush; thaw (n)
tiquilindea|slushy; thawing (adj)
tiri-|to gaze at; to guard; to keep; to look at; to observe; to preserve; to watch (vb)
tirin (tirind-)|minaret; tall tower; turret (n)
tirinwa|vigilant (adj)
tirion (tiriond-)|(great or mighty) tower; city on a hill (n)
tirios (tiriost-)|burg; town or city with walls and towers (n)
tiriosta|city with walls and towers (n)
tiris; tirisse (tiriss-)|vigil; ward; watch (n)
tirne|stare; steadfast regard (n)
tirt (tirty-)|part; portion; section; share (n)
tirtina|distributed; divided; shared (adj)
tirty-|to distribute; to divide; to part; to partition (vb)
titinwe|a sparkle of dew; small star (n)
titte; tyetse|teat (n)
tiuca|dense; solid (adj)
tiura|*compact (adj)
tiure; tyúre (tiuri-)|compact (adj)
tiusima|comforting; consoling; easing (adj)
tiuta-|to comfort; to confirm; to console; to corroborate; to strengthen (vb)
tiutale; tíwele|comfort; confirmation; consolation; easement; reinforcement; strengthening (n)
toco-|to appraise; to assay; to assess; to endeavour; to essay; to feel with the hand; to handle; to tax; to test; to try (vb)
tocot|cock (n)
tol (toll-)|island; isle (n)
tol(to)cainen|eighty (cardinal)
tolda|hill (with a flat top); hill top; town on a hill (n)
tolipin (tolipind-)|mannikin (n)
tolipince|little doll (n)
toli|doll; puppet (n)
tolla|hill top (n)
tolle; tolome|island (n)
tolma|helm (n)
tolmen|boss (of shield); isolated round hill (n)
toloime|sling (n)
toloise|rounded (adj)
tolot (tolokt-)|cobble-stone (n)
tolto; umna|eight (cardinal)
toltost(y)a; toltosto|one eighth (fraction)
tolu-|to furl; to roll up (vb)
tolupe (tolupi-)|ball of wool; roll (n)
tolya|eighth (ordinal)
tombo|gong (n)
tompa|small drum (n)
tompo-tompo|noise of drums (or guns) (n)
tompo-|to bang (vb)
tonga|great hammer (n)
tongwa; yeremba; yerenwa|like iron (adj)
tontilla; tontl|cymbal (n)
tontl|tambourine (n)
toquo-|to bear; to bring forth; to yield (vb)
torina|baked; done (adj)
torma; urna|oven (n)
torme|mountain (peak) (n)
toro-|to bake (vb)
torqua|blazing hot (adj)
torquele|tropic heat (n)
torwa|baked; dark brown (adj)
tuacca|battle axe (n)
tub-; tum-|to dive (vb)
tuctalla|*search (n)
tucu-|to fetch; to go in search of; to look for (vb)
tuilenda|spring-like; sprouting (adj)
tuile|(lit.) a budding; buds; fresh green; new shoots; spring (n)
tuilindo|(lit.) spring-singer; swallow (n)
tuista|shoot; sprout; twig (n)
tuita-|to bud; to burgeon; to burst; to grow (vb)
tuiva; túva|*their; 3rd pl. masc. possessive emphatic (adj)
tul-|to bring; to come (vb)
tulalca|able to bring (adj)
tulca-|to establish; to fix; to set up; to stick in (vb)
tulca; turca|strong (adj)
tulinya|(bringable) worth bringing (adj)
tulma|bier; tray (n)
tulpie|supporting; toleration (n)
tulpo|buttress; prop (n)
tulpu-|to aid; to bear (with); to endure; to prop; to tolerate; to uphold (vb)
tult (tulp-)|etc.; leg of chair (n)
tulu-|to bear fruit; to bring; to carry; to come; to fetch; to produce (vb)
tulunca|firm; steady (adj)
tulwe|banner; pole; standard; tall thin pillar (n)
tulya-|to bring (vb)
tumbe|(large) horn (n)
tumbo|dale; vale (n)
tumna|dark or hidden; deep; profound (adj)
tump-|to build (vb)
tumpo|barn; shed (n)
tunce (tunki-)|smart; witty (adj)
tunda-; turu-|to kindle (vb)
tundo|firewood; fuel (n)
tunga; tyúca (adj)|thick (adj)
tunga; tyúre|dense (adj)
tunqua|able to hear (adj)
tunquele; unquie|hearing (n)
tunta-|to notice; to perceive (vb)
tunto|notice; perception; quickness of perception; regard; wit (n)
tupin|having a lid; having hat on; roofed (adj)
tupu-|to put hat on; to put lid on; to roof (vb)
tur; túranu; vardar (tûr-)|king (n)
turanion; turillo; túrion; vardo|prince (n)
turanwen; turille; turwen|princess (n)
turinda; turinoite|in power; of the ruling dynasty; royal (adj)
turindo; túrion (tūriond-)|palace (n)
turinqui; turquin; túrani; varni|queen (n)
turinquia|Queenly; royal (adj)
turinwa|kingly; royal (adj)
turinya-|to reign over; to rule over (vb)
turquima|haughty (adj)
turu-|to be able; to can (vb)
turuvoite|rich in timber (adj)
turuxa; turúva|wooden (adj)
turu|(orig.) firewood; wood (as material) (n)
turwa; valma|powerful (adj)
turya-|to catch fire (vb)
tustima|inflammable (adj)
tusture|chips; firewood; tinder (n)
tusturin (tusturind-)|match (n)
tuvu-|to accept; to cost; to receive; to require; to take (vb)
tuxa lempea; tuxa pínea|hundred (n)
tuxallume|*hundred times (adv)
tuxanto; tuxantya; tuxatto; tuxatya|one hundredth (fraction)
tuxanya|hundredth (ordinal)
tuxa|144; gross; hundred (cardinal)
tu|3rd pl. masc. pronoun; he; they (pron)
tya-|*your; 2nd sg. possessive (pref)
tyac-|to stick (vb)
tyalien (tyaliend-)|jest; mockery; play; sport (n)
tyalie|game; play (n)
tyalu-|to play (vb)
tyasa-|to choose; to pick; to test; to try (vb)
tyasta-|to put to the test (vb)
tyastava-|to taste (at) (vb)
tyausta|flavour; savour (n)
tyav-|*to taste (vb)
tyava-|to (impersonal) to taste of; to reminds one of; to taste (vb)
tyavasta|sense of taste (n)
tyenda|that (of yours) (adj)
tyent(y)e|that (of yours) (n)
tyetl|a tiny baby; babe (n)
tyos (tyoss-)|cough (n)
tyosto-|to cough (vb)
tyucta-; tyucu-|to chew (vb)
tyulin|tall (adj)
tyulma; tyulme|mast (n)
tyulta-|to rear up; to stick up (vb)
tyulusse|poplar (n)
tyur; tyurme (tyurd-)|cheese (n)
tyurda|curdled (adj)
tyuru-|to curdle (blood etc.); to ‘turn’ milk (vb)
tyus; tyúca (n)|cud (n)
tyustyucta-|to chew the cud; to reflect; to reminisce (vb)
tyá|now (adv)
tyé|tea (n)
tyú(ta)|thigh (n)
tyúma|lump; mass (n)
tyúre (tyúri-)|stout (adj)
tyúte (tyúsi-)|thumb (n)
tá (adj adv)|high; high above; high up (adj adv)
tá (interj)|be silent; hush (interj)
tále|axe-blade (n)
táqua|form; shape (n)
tára|high; tall (adj)
tárie|height (n)
tári|mistress; queen (n)
táta|hat (n)
tévie|dislike; hatred (n)
tócele|handling (n)
túlima|(worth bringing) bringable; able to be brought (adj)
túma|moving (adj)
túpele|roofing; tiles (n)
túpo|cover; lid (n)
túrea|mighty (adj)
túre|might; power (n)
túrin|king(dom) (n)
túvima|acceptable (adj)
ua|the sea (n)
ue|fleece (n)
uindea; vindea|fishlike (adj)
ui|*two (adj)
ul-|mis-; negative prefix (pref)
ulcarma|misdeed (n)
ulca|evil; wicked (adj)
ulcu|wolf (n)
ulma|flagon (n)
ulme|a kind of wine (n)
ulmula|mumbling (adj)
ulqu-|*to rend (vb)
ulqua; vilcin|evil (adj)
ulqui|she-wolf (n)
ulto-|to pour (tr.) (vb)
ulu-|to gush (intr.); to pour (vb)
ulumpingwe|caterpillar (n)
uluntilla|camel’s hair (n)
uluswe; ulwe|alder tree (n)
uluswea; ulwea|alder-grown (adj)
ulwe nornelassea|oakleaved alder (n)
ulwenoite|alderlike (adj)
ulwesse|alder-thicket (n)
um-|to be not; to do not (vb)
unc(o) (unq-)|corner; ear (of animals); sticking out edge (n)
unqu-|to catch (fish); to catch in; to hook into (vb)
unquilla(r)|handle of jar; pothook (n)
uqu-|to rain (vb)
uquis; úquil|rain (n)
uruvoite|having fire (adj)
urwa|afire; on fire (adj)
urya-|to burn (intr.) (vb)
urúva|like fire (adj)
usque|fog (n)
usu-|to escape; to get out (vb)
uswe|escape; issue; outlet (n)
va; ô|from (prep)
vacco|coat; jacket (n)
vactelear|merchant (n)
vactele|trade (n)
vaile|*sheath; covering (n)
vaimata-|to robe (vb)
vaima|robe; wrap (n)
vaina|clad (adj)
vaine (vaino-)|pod; sheath (n)
vainole|quiver (n)
vaita-|to wrap (vb)
vaite|skied (adj)
vaiwe; vaiya|seamew (n)
vaiya (Physical World)|skies (n)
val (vald-)|blessedness; good fortune; happiness (n)
val(i)na|brown (adj)
valcane|vague (adj)
valca|*vague (adj)
valce (valki-)|sharp blade (n)
valcea|cutting; sharp (adj)
valda|dear; worth; worthy (n adj)
valdea|important; of moment (adj)
valiemba|tropical (adj)
valima; valin (valim-)|happy (adj)
valmandui|heaven and hell (n)
valto|the luck of the Valar (n)
van (vand-)|way (n)
vana-|to depart; to go away; to pass; to vanish (vb)
vanco; vat|wares (n)
vande|away; forth; hence (adv)
vandl; vanga|staff (n)
vanesse; vanéni|beauty (n)
vanest(e)a|beauteous (adj)
vanima|as it should be; fair; proper; right (adj)
vanta|?beautiful (adj)
vanwa (adj)|gone; lost; on the road; over; past (adj)
vanwa (n)|great gale (n)
vanwavoite|windy (adj)
vanya|holy (adj)
vaqua-|to vanquish (vb)
vaquasta|a victory (n)
vaqui(e)|victory (n)
vara-|to rub (vb)
varca-|to bode (impersonal); to dread; to fear (vb)
varca|dread; fear (n)
varcima|dreadful (adj)
vard-|to govern (vb)
varimo; varyanu|foreigner (n)
varitsi; varyani|foreigner (fem.) (n)
varivoite|foreign (adj)
varne (adj)|?brown (adj)
varne (n)|estrangement; strangeness (n)
varqua|afraid; in fear (adj)
varta|change (n)
vartyane|service (n)
vartyo; virt (virty-)|servant; slave (n)
varya|different (adj)
var|or (conj)
varúse|*in other manner [than] (adv)
vasa-|to rush (of both noise and speed; to tr.) (vb)
vasca|making a plash or rush (adj)
vassale|rustling (n)
vassivaswe|beating or rushing of wings (n)
vasta-|to intr.); to rush (of both noise and speed (vb)
vasta|road (n)
vaxe|sale (n)
va|with (prep)
vea (adj)|like; similar (adj)
vea (n)|sea (n)
veacirya|sea-ship (n)
vealta-|to resemble (vb)
veasta; vícele|comparison; resemblance (n)
velba|boiling; bubbling (adj)
velbe|bubble (n)
velca|flame (n)
vele-|to boil; to bubble (vb)
velet (welekt-)|tumor (n)
velice (veliki-)|great (adj)
velice; yanta; úmea|large (adj)
velixe|greatly (adv)
velme; velwe|spring (n)
velu-|to unfurl (vb)
velupantie|revelation (n)
ven(di); vende|maiden (n)
ven(di)|maid (n)
vena; venin; venya|womanl[y] (adj)
venda|brook (n)
vendele|maidenhood (n)
vene|dish; small boat; vessel (n)
venga|*male (adj)
venie; venwe|cut; shape (n)
veniel|mariner (n)
venta-|to shape (vb)
venta|chin (n)
vente|brook; small river (n)
verelin (werelind-)|whirligig (n)
verelinda|pirouetting; twirling (adj)
vereven(da) (werevend-)|winding rill (n)
verin (verind-)|married (adj)
veringwi|husband and wife; married pair (n)
vesta-|to (refl.) to get married; to join others in marriage; to marry (vb)
vestale|wedding (n)
vestaner|?(bride)groom (n)
vestani|*bride (n)
vestanoina|related by marriage (adj)
vestaquin|?bride (n)
vesta|state of marriage (n)
ve|as; like (prep)
via|male (adj)
vica|valiant (adj)
victe; vitevíse|gum (n)
vie (Body Parts and Functions)|*penis; teors (n)
vie (Mankind)|*man; male of the Elda (n)
vihta|*folk (n)
vil(de)|business; matter (n)
vil-; vili-|to fly (vb)
vildi-|to be of significance; to matter; to moment; to worth (vb)
vildima|essential; imperative (adj)
vilina; vílyava|airy (adj)
vilina|breezy; light (adj)
vilindea|as a bird (adj)
vilisse|spirit (n)
vilwarin (wilwarind-)|butterfly (n)
vilwarinda|butterflylike (adj)
vilya|(lower) air (n)
vimpele|a twinkling (n)
vinca|corner; nook (n)
vinda|woof (n)
vindele|loom (n)
vinge|(blowing) foam; froth; scud; spindrift (n)
vingil (wingild-)|(lit.) foam-maiden; (sea) nymph (n)
vintele|*twinkling (n)
vintil|a glint (n)
vinwe (winwi-)|a sparkling; flash (n)
vinwinoite|glittering (adj)
vinya-|to flash; to glint (vb)
virti-|to serve (vb)
viste|weft (n)
vite (vitsi-)|sap (n)
vitevíse|(lit.) sap-blood; *resin (n)
vixa|sticky (adj)
voine|desire (n)
vor(o)|always; ever (adv)
vorima|everlasting (adj)
vorinquile|monotony (n)
vorne|an aeon (n)
vorocantele|harping; vain or monotonous repetition (n)
voronda|faithful (adj)
voruva|age long (adj)
vára|other (adj)
váro|*rather (adv)
vá|away; gone forth (adv adj)
vícana-|to compare (vb)
více|like (adj)
víle|gentle breeze (n)
vírin|glass substance [used to make the Moon] (n)
vóre (vóri-)|fur (n)
vóre (wóri-)|sweet (to taste only) (adj)
vórina|of fur (adj)
vóriva|like fur (adj)
ya(n)|and (conj)
yaim-; yaima-|to possess (vb)
yaima|implement (n)
yalle|a hollow ring (n)
yalta; yalte; yarta|yoke (n)
yama-|to call (vb)
yambo|cheer; shout of triumph (n)
yanda|dark; gloomy (adj)
yando|also (adv)
yanta-|to add to; to augment; to enlarge; to increase (vb)
yanta|joined (adj)
yantya-|to add to; to augment (vb)
yanwa|goose (n)
yan|when (conj)
yara|a gloom; blight; lowering darkness (n)
yarendila|like a sailor (adj)
yarendilyon|sailor (n)
yaru|blight; gloom (n)
yat; yatta|isthmus; neck (n)
yausta|crop (n)
yava- (Agriculture and Vegetation)|to bear fruit (vb)
yava- (Possession and Trade)|to hold (vb)
yaxina|of steel (adj)
ya|relative pronoun (pron)
yel (yeld-)|cold; the cold (n)
yelma|(a bout of) frost; a cold; chill (n)
yelwa|cold (adj)
yenda; yendina|yesterday’s (adj)
yendo; yesta|gaze; glance (n)
yere(n)|pig iron (n)
yolme|stench; stink (n)
yolo-|to stink (vb)
yondo|(great) grandson; male descendant (n)
yucainellume|*twenty times (adv)
yucainen tuxa; yunquecainen|one hundred twenty (cardinal)
yucainento; yucainentya|one twentieth (fraction)
yucainenya|twentieth (ordinal)
yullume; yú|twice (adv)
yullume|*two times (adv)
yulu-|to carry (vb)
yundóra|two million (cardinal)
yundóre|billion (cardinal)
yunga|twin (n)
yunquenya; yunquetya|twelfth (ordinal)
yunquetto|one twelfth (fraction)
yunque|twelve (cardinal)
yuro|a run; race (n)
yutuxa; yúyo tuxa|two hundred (cardinal)
yáma|call (n)
yáme|yawning (adj)
yávan|autumn (n)
yáva|fruit; produce (n)
yéta-|to look at (vb)
yú-|ago (pref)
yúyo húmi|two thousand (cardinal)
yúyo yucainen|twenty two (cardinal)
yúyo|two (cardinal)
áma|heart; mind; thought (n)
ána|crown of head; top (n)
ára|dry sand; grit (n)
áye|hail (interj)
â|inner thought; mind (n)
íne|to-day (adv)
ó(vo)|mouth (n)
óleme|elbow (n)
óma|voice (n)
ómu|*although (adv)
órea|Eastern; of the dawn (adj)
óre|East; Sunrise; dawn (n)
ú-; úv-|un- (pref)
úrin|(blazing) hot (adj)
úsiéra|*escaped (adj)
úva|the under (adj)
úya-|to is not (vb)
ú|beneath (prep)
