(a)larca|rapid; swift (adj)
sirëa|flowing; liquid (adj)
sis- [þiþ-]; sisi-|to fry; to singe (vb)
sisin; sisin [þ-]|parched; scorched (adj)
sist(e) (sisty-); sistë (sisti-)|sore; ulcer (n)
sistina|sore; ulcerated (adj)
sisíla-|to shine (frequentative) (vb)
sitina|accustomed; common; customary; ordinary; usual (adj)
sito (situ-)|custom (n)
sitta-|to I am used to; to I do habitually (vb)
situ-|to be accustomed [to] (vb)
sitwa [þ]|fryer; pan (n)
siulë|incitement (n)
sië|thus (adv)
soc-; sulp-; yul-|to drink (vb)
sohta-|to drench; to give to drink (vb)
soicië|thirst (n)
solma [þ]; solos [þ-]|?helmet; ?top (n)
solma|[main or entry] hall; chamber (n)
solor (solos-)|coast; surf; surge; wavebreak (n)
solor|surf; surge (n)
solta-|to surge (up and down); to wave (vb)
songa|mouth (interior cavity behind the teeth containing the tongue) (n)
sono [þ]|pine (n)
sononel (sononelm-) [þ]|pine-needle (n)
sor(ne) (sorn-); sorno [þ]; soron; soron (sorn-) [þ]|eagle (n)
sor-|to equip; to furnish; to provide (vb)
soracta-|to amass; to hoard; to pile (vb)
sorastarwa|equipped; furnished (adj)
sorasta|equipment (n)
sorna [þ]; tulca|steadfast (adj)
sornion; sornion [þ]|eyrie (n)
soroncë [þ]|kite; (lit.) little eagle (n)
sortöa [þ]|aloe; (lit.) eaglewood (n)
sorya- [þ-]|to feel fear (vb)
sossë [þ-]; umbë|fear (n)
sossëa [þ-]|afraid; fearful (adj)
sosta- [þ-]|to put to fright (vb)
sov-|to *bathe (vb)
sovalda-|to cleanse; to purify (vb)
sovallë|bathing; purification; washing (n)
sovalwa|*purifying; cleansing (adj)
sovamorco|raccoon; (lit.) wash-bear (n)
suc-|to *gulp; to drink [rapidly]; to quaff (vb)
sucul [þ]|slime; sticky matter (n)
suhta-|to drain (vb)
suhtina|resinous (adj)
suhto|*a single act of drinking; draught (n)
suhtë (suhti-)|gum; resin (n)
suila-|to greet (vb)
suilanta-|to give greeting (vb)
suilië|greeting (n)
suiva|moaning; moaning [of wind]; soughing (adj)
sulca|root (especially as edible) (n)
sulp-|to lick up; to sip; to sup; to sup up; to taste (vb)
sulpa-|to drink greedily; to lap up (vb)
sulpa|soup (n)
sumba-|to *baptize; to submerge (vb)
sumbando|baptizer (n)
sumbanwa|sink (for washing) (n)
sundo [þ]|base; root; root-word (n)
sundoharmar|capital [funds]; (lit.) base treasures (n)
sundon (sundond-)|bedrock; (lit.) base-rock (n)
sundóma [þ]|determinant vowel; root-vowel; vocalic determinant (n)
sur- [þ]|*to seek (vb)
sura|a clan (n)
surië [þ]|*(an act of) seeking (n)
surya- [þ]|to blow (intr.) (vb)
surya-|to hiss (vb)
surya|spirant consonant (n)
sussë [þ-]|puff (of air) (n)
susta- [þ-]|to stink (vb)
susta- [þ]|to blow (tr.) (vb)
susúlima|airy; full of wind; windy (adj)
suv-|to sink (esp. in water) (vb)
sá [þ] (interj adv)|I agree of course; I will; all right; of course I do; very good (interj adv)
sála|bile; gall (n)
sámo [þ]|helper (n)
sámë [þ]|help; salvation; saving (n)
sányelóra [þ]|lawless (adj)
sáquet- [þ] (Language and Music)|(lit.) to say ‘yes’ (vb)
sáquet- [þ]|to I will; to agree (to do); to say ‘yes’ (vb)
sáquetië|agreement (n)
sár (sar-)|(generalized) score (of game or contest); (incised) mark; notch; tally (n)
sára|bitter (adj)
sáro [þ]|saviour (n)
sáva|juice (n)
sávula|credulous; gullible (adj)
sávë [þ]|foul odor; reek (n)
sérenca|uneasy; unpeaceful (adj)
sérinqua|full of peace; peaceful (adj)
sérë|peace; repose; rest (n)
síra|*today; this day (n)
sírë|stream (n)
sísë; sítë|3rd sg. fem. pronoun; they (emphatic) (pron)
sítë (adj)|of this sort (adj)
síva|*their; 3rd pl. fem. possessive emphatic (adj)
sívë|knowing (n)
sóla|tide (n)
sónanwa|water basin (n)
sóra (adj)|long (adj)
sóra (cardinal)|(vaguely) a very great number (cardinal)
sótë|refuge (n)
söa|filth (n)
súcë [þ]|pine or fir; resinous tree (n)
súcë|pine or fir; resinous trees (n)
súlendil|kite; (lit.) friend of the wind (n)
súlo (*súlu-)|goblet (n)
súlë (súli-) [þ]|spirit (n)
súlë [þ]|(movement of) spirit; breath; emission of power (of will or desire) (n)
súma|bosom; hollow cavity (n)
súna- [þ]|to be spiritually affected; to inspired (vb)
súnalë [þ]|inspiration (n)
súnë|bath; small pool (n)
súriellë|anemone; windflower (n)
súriquessë|species of grass; (lit.) wind feather (n)
súrë (súri-)|breeze; wind (n)
súsa [súþa]|bath water; hot water (n)
súya- [þ]|to breathe (vb)
súyel|niece (n)
súyon|daughter’s son; nephew (n)
sú|(noise of) wind; sound of wind (n)
ta (adv conj)|also; and also; etcetera; like that; so; then (adv conj)
ta (pron, Grammar)|3rd pl. neut. pronoun; there (pron)
ta-; tëa-|*their; 3rd pl. neut. possessive (pref)
tac-; taca-|to fasten; to fix (vb)
tailë|extension; lengthening (n)
taima; taina|extension (n)
taina|elongated; extended; lengthened; prolonged; stretched (adj)
taita-|to *lengthen; to prolong (vb)
taitë|of that sort (adj)
taiva; táva (adj)|*their; 3rd pl. neut. possessive emphatic (adj)
tal(da)|to the bottom (adv)
tala(no)itë; talaitë (talaiti-)|footed (adj)
tala; veluntë|sail (n)
talacúmë|huge burden; pile (n)
talan (talam-)|flat space; floor; ground; platform (n)
talar (talard-)|beast of burden (n)
talat|sheet (n)
talca|mark (n)
taldëa|bottom (adj)
tallimë (tallimi-)|ankle; (lit.) foot-link (n)
tallunë|sole of foot (n)
tallë|like that (adv)
talma (Mind and Thought)|base; basis; foundation (n)
talma (Spatial Relations)|base; end; foundation; root (n)
talmacasta|upside down (adj)
talmata-|to base (on); to found (vb)
talmondo|foundation stone (n)
talo; tó|thence (adv)
talta (adj, Motion and Transportation)|inclined; leaning; shaky; slanting; sloping; tilted; tottering; wobbling (adj)
talta (adj, Spatial Relations)|inclined; leaning; sloping; tilted (adj)
talta (n)|incline (n)
talta-|to collapse; to slide down; to slip (down); to slope (vb)
taltil (taltill-)|*(lit.) foot-tip (n)
taltol|big toe (n)
taltë|at the bottom; down (adv)
talumë|at that time (adv)
tal|downwards (adv)
tam-; ton-|to tap (vb)
taman|thing made by handicraft (n)
tamarin; tamuril|yew (n)
tama|that matter (pron)
tamba-|to keep on knocking; to knock (vb)
tambaro|woodpecker; (lit.) knocker (n)
tambin (tambind-)|cauldron (n)
tambina|of bronze; of copper (adj)
tambë (tambi-) (Food and Drink)|pot (n)
tambë (tambi-) (Physical Acts and Materials)|bronze; copper (n)
tambë|so (prep)
tamen; tandë; tanna; tar(a) (adv)|thither (adv)
tamilla; tamin|forge (n)
tamma|tool (n)
tamna|artifact; artificial (adj n)
tamo|artificer; builder; wright (n)
tampa|stopper (n)
tampo|well (n)
tana (adj pron)|that (adj pron)
tana (pron)|that (anaphoric) (pron)
tana-|to indicate; to show (vb)
tanar|[linguistics] demonstrative; indicator (n)
tanastë|presentation (n)
tanca (adj)|(stead)fast; firm; fixed; steady; sure (adj)
tanca (n)|fastening; rivet (n)
tancal(a)|brooch; clasp; fastener (n)
tancarya-|*to become firm (vb)
tancata-|to confirm; to fix; to make firm; to make fixed or firm (vb)
tancavë|certainly (adv)
tanco|firmly (adv)
tanen|in that way (adv)
tanga-; tinga-|to twang (vb)
tango; tingë|twang (n)
tangwa|*fastener; clasp; hasp (n)
taniquelassë|*high-white-leaf (n)
tanna (n)|sign; token (n)
tanomë|there; (lit.) in the place (referred to) (adv)
tanta(ra)|bouncing; resilient (adj)
tanta-|to bounce; to bound; to rebound (vb)
tantal|shuttle (n)
tantya-|to set bouncing (vb)
tanwë|construction; craft; device; thing made (n)
tanya|that (adj)
tap-|to block; to stop (vb)
tapatenda mavoisi|Spanish [chestnut] (n)
tapatenda|light fingered; long fingered; taper fingered (adj)
tapta|impeded (adj)
tar (adv)|beyond (adv)
tar (n)|honorific; madam; sir (n)
tar- (affix)|high; king or queen (in compounds) (affix)
tar-; termar- (vb)|to stand (vb)
taranna|county; shire (n)
tararan|emperor; (lit.) high-king (n)
taras; tarminas|great towering building (fort/city/castle) (n)
tarasta-|to harass; to trouble (vb)
tarastië|trouble (n)
tarca|horn [of animals] (n)
tarci-|to trouble (vb)
tarhanwa|(lit.) high seat (n)
tarma|pillar (n)
tarmenya|vertical (adj)
tarmen|vertical direction (n)
tarmon (tarmond-)|basalt; (lit.) pillar-rock (n)
tarmë|condition; state; status (n)
tarolwen|sceptre; (lit.) royal branch (n)
tarqu-|*to dry; to pickle; to preserve (vb)
tarqua-|to pickle; to preserve (vb)
tarquin(a)|*(orig.) preserved; dried; salt meat; salted (n adj)
tarucu|ox (n)
tarunco|bull (n)
tarva|tired (adj)
tarwandur|gardener (n)
tarwa|garden (n)
tarwesta-|to crucify (vb)
tarwë|cross; crucifix (n)
taryalangova; taryalangwa|obstinate; stiff-necked (adj)
taryassë|difficulty; stiffness; toughness (n)
tarya|stiff; tough (adj)
tasar(e) [þ]|willow-tree (n)
tasar(ë) (tasari-) [þ]; tassarin|willow (n)
tasinwa|numbered (adj)
tastë|fringe (n)
tatya-|to double; to repeat (vb)
tauca|stiff; wooden (adj)
taucolca|(wooden) chest (n)
taura|(very) mighty; masterful; of unmeasured might or size; vast (adj)
taurië|forest (n)
taurëa|forested (adj)
taurë|(great) wood; forest (n)
tautamo|[wood] carver; carpenter (n)
tav-|*to endure (vb)
tavaril|dryad; spirit of woods (f.) (n)
tavaron|dryad; spirit of woods (m.) (n)
tavas (tavast-); tavasta|woodland (n)
taxë|nail (n)
tayóra|*lofty (adj)
tec-; tece-|to write (vb)
teccelma|parchment; scroll; (lit.) writing-skin (n)
tecco|accent [´]; stroke (of pen or brush) (n)
tece-|to mark; to write on (vb)
tecemma|drawing; drawn image; painting (n)
tecetta|letter (n)
tecindo|writer (n)
tectamaqua|having a good ‘hand’ (adj)
tehtalë|art of writing; documents; papers; script; scriptures; writings (n)
tehta|(written) mark; diacritic; mark (in writing); sign; symbol; †written letter (n)
tel (teld-)|end (n)
tel-|to end; to finish (intr.) (vb)
telco (?telcu-)|leg; stem (n)
telco (Agriculture and Vegetation)|stem (n)
telcohan (telcohamp-)|pants; trousers; (lit.) leg-clothing (n)
telconta-|to *(lit.) to leg it; to stride (vb)
teldavë|finally (adv)
telda|final; last (adj)
telella; telerëa|elfin (adj)
telemna|*of silver (adj)
telepta|*silver; *silver-coloured (adj)
telesto (telestu-)|(m.) little elf (n)
telestë (telesti-)|(f.) little elf (n)
telima|final (adj)
telintulë (telintuli-)|bearing a roof; roofed (adj)
tella|hindmost; last (adj)
telluma|cupola; dome; vault (n)
tellë|rear (n)
telma|anything used to finish off a work or affair; conclusion; ending (n)
telmëa|conclusive (adj)
telmë|covering; hood (n)
telpe (telpi-); tyelpë (tyelep-)|silver (n)
telpe (telpi-)|money (n)
telperin|like silver (in hue or worth) (adj)
telpetan|silversmith (n)
telpevistando|money-changer (n)
telpia|silvern (adj)
telpilin|*silver coin; silver piece (n)
telpina|like silver (in hue or worth); of silver (adj)
telpingwë|silverfish (n)
telpë (telep-)|money; silver (n)
telta-|to canopy; to overshadow; to screen (vb)
teltassë|awning (n)
telu (n)|close; end (fate) (n)
telu; telwa (adj)|last (adj)
telumbë|mushroom; (lit.) fairy-canopy (n)
telumen|conclusion; finish (n)
telumet (telumett-)|canopy (n)
telumë (Dwelling and Furniture)|canopy; dome (of heaven); firmament; roof; vault (n)
telumë (Physical World)|(vault of) heaven; firmament; the heavens (n)
telusta|extreme; outer; ultimate (adj)
telustë (telusti-)|extremity (n)
telwa|late (adj)
telya-|to conclude (trans.); to finish; to wind up (vb)
telyanta-|to *attract; to allure (vb)
telyantalya|alluring; attractive (adj)
telyantassë|allurement; attraction (n)
telëa|*roofed (adj)
tenca|letter (epistola) (n)
tencelë; tengwacilmë|spelling (n)
tencelë|writing (system) (n)
tendilëa|feeling; sentimental (adj)
tendilë|feeling; sentiment (n)
teng-|to think (vb)
tengessë|address; (lit.) indication-name (n)
tengwa-|to read written matter (vb)
tengwalóra|unlettered (adj)
tengwassë|alphabet (n)
tengwa|(written) letter; grammar; indicator; sign; token (n)
tengwelanga-|to transcribe (vb)
tengwelanga|transcription (n)
tengwelë (Language and Music)|language (general term) (n)
tengwelë (Sense Perception)|sense (n)
tengwesta|*language structure; collection of matter concerning writing; collection of writing; grammar; morphology; system or code of signs (n)
tengwestië|language [as a concept] (n)
tengwië|language (*signing) (n)
tengwë (Language and Music)|indication; sign; token (n)
tengwë (Mind and Thought)|notion; thought; understanding (n)
tenna (n, Language and Music)|a letter (n)
tenna (n, Mind and Thought)|notion; thought (n)
tenna (prep)|as far as; to reach; to the point; until; up to (prep)
tennoio|forever[more] (adv)
tensi|already; up to now/here; yet [from present] (adv)
tenta-; tëa- (vb)|to indicate (vb)
tenta-|to be directed toward; to direct toward; to go forth towards (with object); to point (to/out) (vb)
tentaparma|instruction book; recipe book (n)
tenta|*up until then; yet [past] (adv)
tentl|a feeler (n)
ten|for (conj)
ter-|to pierce (vb)
ter; terë|through (prep)
tercara|comprehensive; elaborate; thorough (adj)
tercenya|*perceptive; of insight (adj)
tercen|*(lit.) through-sight; insight (n)
tercáno|herald (n)
teren (Spatial Relations)|lissom; lithe (adj)
terendel|lathe (n)
teret (terect-); teret (tereht-)|auger; borer; gimlet (n)
tereva (Sense Perception)|acute (pain); piercing; sharp; shrill (adj)
tereva (Spatial Relations)|*keen; acute (pain); fine; piercing; sharp; shrill [of sound] (adj)
terhat-|to break apart (vb)
termar-|to *endure; to last; (lit.) to through-abide (vb)
terra|fine pierced hole (n)
tervanta-|to traverse (vb)
tesar|brick; tile (n)
tessa; vendë|maid; maiden (n)
tessara|maiden; maidenly (adj)
tessarë (tessari-)|little maid (n)
tetta; vinimo; vinë (wini-)|baby (n)
tev-; teve-|to dislike; to hate (vb)
tevinqua|hateful (adj)
tevin|hated (adj)
tevië; tévië|dislike; hatred (n)
ticuta-|to (orig.) make melt; to smelt (vb)
tier; tér|*so (prep)
tihta-|to peer (vb)
tila|(single) hair (n)
tildë|(mountain) horn; fine sharp point; point; tip; ️peak (n)
tillë (Body Parts and Functions)|eyelash (n)
tillë (Spatial Relations)|[within compounds] finger; eyelash; point; tip (n)
tilma|point (n)
tilwindëa|shining (adj)
tilë|single hair (n)
timbarë|forehead (n)
tin-|to gleam; to glint; to shine as a star; to spark (vb)
tincoina|metallic (adj)
tincotéma|t-series (n)
tinco|metal (n)
tinda|glinting (silver) (adj)
tindë|glint (n)
tindómë|(starry) twilight; starlit dusk; time near dawn (n)
tingilindë; tingilya|twinkling star (n)
tini-|to gleam; to shine as a star (vb)
tinta-|to cause to spark; to kindle; to make to spark (vb)
tintila-|*to sparkle; to give tremulous light; to twinkle; to †tremble (vb)
tintilië|sparkling; twinkling (n)
tinwerúmë|starling; (lit.) abundance of stars (n)
tinwë|[apparent] star; spark (star) (n)
tinwírë|diamond; (lit.) sparkling gem (n)
tiqu-; tiqui- (Sense Perception)|to melt (vb)
tiqu-|*to melt; to thaw (vb)
tiqui-|to thaw (vb)
tiquilin (tiquilind-)|melting snow; slush; thaw (n)
tiquilindëa|slushy; thawing (adj)
tiquilë|melting; thaw; thawing (n)
tir-|to gaze; to guard; to look (at); to observe; to watch (over) (vb)
tiri-|to gaze at; to guard; to look at; to observe; to preserve; to watch (vb)
tirila|watching (something) (adj)
tirion (tiriond-)|(great or mighty) tower; city on a hill (n)
tirion|(great or mighty) tower; watch-tower (n)
tiriosta|city with walls and towers (n)
tiris (tiriss-); tirissë|vigil; ward; watch (n)
tirista|*watch; guard (n)
tirma|spyglass (n)
tirmen|theater (n)
tirmo|watcher (n)
tirmë|*gaze; stare; steadfast regard (n)
tirítë (tiríti-)|vigilant; watchful (adj)
tis; titsë (tits-)|kitten (n)
titinwë|*small sparkling thing; a sparkle of dew; small star; sparkle of dew (n)
titta|tiny (adj)
tittë|breast; breast [of a woman]; teat (n)
tiucata-|to fatten; to feed up (vb)
tiuca|fat; solid; thick (adj)
tiura (Spatial Relations)|compact (adj)
tiura|*compact (adj)
tiuta-|to *(orig.) to make firm; to comfort; to confirm; to console; to corroborate; to strengthen (vb)
tiutaila|comforting; consoling; easing (adj)
tiutalë|comfort; confirmation; consolation; easement; reinforcement (n)
tiuya-|to grow fat; to swell (vb)
tixipi|ladybug; (lit.) insect of [many] dots (n)
tixë|dot; point; tiny mark (n)
tië|direction; line; path; road; route; way (n)
to(lo)sta; tolsat; toltost(y)a; toltosto|one eighth (fraction)
toc-|to appraise; to assay; to assess; to tax (vb)
toco-|to appraise; to assay; to assess; to endeavour; to essay; to feel with the hand; to handle; to tax; to test (vb)
tocot|*rooster; cock (n)
toina|*wooden; made of wood; wood (adj)
tol (toll-); tollë (Physical World)|(steep) isle (n)
tol (toll-); tollë; tolomë|island (n)
tol (toll-)|isle (n)
tol(to)cainen; tolquain|eighty (cardinal)
tolbo|big toe; stub; stump (n)
toldo; tolto|eight (cardinal)
toldëa; toltëa; tolya|eighth (ordinal)
tolipincë|little doll (n)
toli|doll; puppet (n)
tolla|hill top (n)
tollesta|archipelago (n)
tollo; tolyo|sticker-up (n)
tolloquen|islander (n)
tolma|(short rounded) handle; knob; protuberance contrived to serve a purpose (n)
tolmen (tolment-)|boss (of shield); isolated round hill (n)
toloimë|sling (n)
toloisë|rounded (adj)
tolpo|bowl (n)
tolu-|to get up; to leave one’s seat; to stand up (vb)
tolupë (tolupi-)|ball of wool; roll (n)
tombo|gong (n)
tompa-|to *drum; to bang (vb)
tompa|(small) drum (n)
tompo-tompo|noise of drums (or guns) (n)
tomya-|to resonate (of shorter sounds) (vb)
ton-|to knock (vb)
tontilla|*tambourine; cymbal (n)
torna; urda|hard (adj)
tornanga|*steel; hard-iron; iron hard (adj n)
torquelë|tropic heat (n)
totonna-|to type (on computer/phone) (vb)
to|in; on (prep)
tub-|to dive (vb)
tuc-|to *pull (toward); to draw (vb)
tucië|drawing; pulling (n)
tuia-|to spring; to sprout (vb)
tuilindo|swallow; (lit.) spring-singer (n)
tuilu-|to bud; to open (of flowers and leaves) (vb)
tuilérë|*spring-day (n)
tuilë|buds; fresh green; new shoots; spring; spring-time; (lit.) a budding (n)
tuima|bud; sprout (n)
tuista|shoot; spray; sprout; twig (n)
tuiva; túva|*their; 3rd pl. masc. possessive emphatic (adj)
tul-|to bring; to come (vb)
tulca (Emotion)|firm; immovable; strong (adj)
tulca-|to *found; to establish; to fix; to set up; to stick in (vb)
tulca; turca (Body Parts and Functions)|strong (adj)
tulco (*tulcu-)|prop; support (n)
tulla|rudder (n)
tullu-|to happen (i.e. come in time); to occur (vb)
tulma (Language and Music)|bier; tray (n)
tulma (Physical Acts and Materials)|event (n)
tulpië|supporting; toleration (n)
tulta-|to fetch; to send (from point of view of receiver); to send for; to send hither; (lit.) to cause to come (vb)
tultaima|*fetchable; summonable (adj)
tulu-|to bear fruit; to bring; to carry; to come; to fetch; to produce (vb)
tuluhta-|to prop (up); to support; to uphold (vb)
tulumaitië|probably (adv)
tulumaitë|likely to come; probable (of future events) (adj)
tulurya; évëa|future (adj)
tulurya|coming (adj)
tulussë|future tense; (lit.) coming tense (n)
tulusta|advent; arrival (n)
tulwë|banner; pole; standard; tall thin pillar (n)
tulya-|*to lead; to bring; to send (vb)
tulyaitë|able to bring (adj)
tulyando|leader (n)
tulyandë|fetching (n)
tumba-|*to dive; to cast down (into a pit[?]) (vb)
tumba; tumna (Physical World)|lowlying (adj)
tumbalë|deep valley; depth (n)
tumbo (tumbu-)|dale; deep vale; deep valley (under or among hills, with high sides); valley (n)
tumbo|dale; vale (n)
tumna|dark or hidden; low (adj)
tumpo (Agriculture and Vegetation)|barn; shed (n)
tumpo (Physical World)|hump; lump (n)
tumya-|to dip (vb)
tundo (tundu-)|mound [isolated] (n)
tundo|firewood; fuel (n)
tunga|resonant (of strings); taut; tight (adj)
tungwemen|tax-office (n)
tungwemo|tax-collector (n)
tungwë|tax (n)
tunta-|to notice; to perceive; to see (vb)
tuntaitë|*perceptive; bright; smart; witty (adj)
tunto|notice; perception; quickness of perception; regard; wit (n)
tuorva|peach; (lit.) wool-apple (n)
tuo|muscle; sinew; vigour (n)
tup-|to cover; to put a lid on; to put hat on (vb)
tupattal|horse-boot (n)
tupina|covered (adj)
tupin|having a lid; having hat on; roofed (adj)
tupsë|thatch (n)
tupu-; tópa-|to roof (vb)
tupu-|to cover; to put hat on; to put lid on (vb)
tur- (Social Relations)|to control; to govern; to wield (vb)
tur- (Warfare and Hunting)|to *rule; to conquer; to control; to dominate; to govern; to master; to win (vb)
turca|powerful (in body) (adj)
turco|*stronghold (n)
turinda; turinoitë|in power; of the ruling dynasty; royal (adj)
turindo (Mind and Thought)|purposeful mind; strong will (n)
turindo; túrion (túriond-)|palace (n)
turindura|done necessarily (adj)
turinquia|Queenly; royal (adj)
turmen|realm (n)
turmë|governing power; strength (n)
turo|master (n)
turquima|haughty (adj)
turu- (Physical Acts and Materials)|to be able; to can (vb)
turu- (Warfare and Hunting)|to defeat; to have victory over; to master (vb)
turu-|to kindle (vb)
turut (turuc-)|*tree-trunk; tree-stem (n)
turutyalmë|competition; contest (n)
turuvoitë|rich in timber (adj)
turuxa|wooden (adj)
turwa|powerful; powerful [in a general sense] (adj)
turya-|to strengthen (vb)
turyandë|fortification (n)
turyanwa|*strengthened; fortified (adj)
turúna|mastered (adj)
tussa|bush (n)
tusturin (tusturind-)|match (n)
tusturë|chips; firewood; tinder (n)
tutulla-|to keep on coming (and going) (vb)
tuv-|to discover (vb)
tuxa lempëa; tuxa pínëa|hundred (n)
tuxainen|thousand (cardinal)
tuxallumë|*hundred times (adv)
tuxanto; tuxantya; tuxasta; tuxatto; tuxatya|one hundredth (fraction)
tuxantur|centurion (n)
tuxanya|hundredth (ordinal)
tuxasta|*one percent (fraction)
tuxa|144; gross; hundred (cardinal)
tu|3rd pl. masc. pronoun; he; them (dual); they (pron)
tuë|fleece (n)
tya-|*your; 2nd sg. possessive (pref)
tyac-|to stick (vb)
tyal-|to play (vb)
tyalangan (*tyalangand-)|harp-player (n)
tyalindo|player (n)
tyalië|game; mirth; play; sport (n)
tyallas (tyalass-)|(playing) card (n)
tyalma|plaything; toy (n)
tyalmë|game (n)
tyar-|to cause (vb)
tyaraitë (tyaraiti-)|effective; effectual; efficacious; productive (adj)
tyarda|*effect; result (n)
tyaro|actor; agent; doer (n)
tyarwë|reason (n)
tyas- [þ]|to choose; to pick; to test; to try [out] (vb)
tyasa-|to choose; to pick; to test (vb)
tyasta-|to (put to the) test; to *verify (vb)
tyastaima|testable (adj)
tyatyamba-|*to keep on tasting (vb)
tyausta|flavour; savour (n)
tyav-; tyava- (Sense Perception)|to (impersonal) to taste of; to reminds one of; to taste (vb)
tyav-|*to taste (vb)
tyavasta|sense of taste (n)
tyaz-|to like (vb)
tyelca|agile (adj)
tyellë|grade; step (in a stairway or ladder) (n)
tyelpetéma|palatal series (n)
tyenda|that (of yours) (adj)
tyent(y)ë|that (of yours) (n)
tyenya|yours (familiar) (n)
tyet-|to nurse; to suckle (vb)
tyetsë|*nipple; teat (n)
tye|that by you (pron)
tyocolat|chocolate (n)
tyos (tyoss-)|cough (n)
tyosta-|to cough (vb)
tyuc-; tyucu-|to chew (vb)
tyulma; tyulmë|mast (n)
tyulta-|to rear up; to stick up (vb)
tyulussë|poplar; poplar-tree (n)
tyur-|to *congeal; to curdle (blood, milk, etc.) (vb)
tyurda (Food and Drink)|curdled (adj)
tyurmë|cheese (n)
tyuru-|to curdle (blood etc.); to ‘turn’ milk (vb)
tyustyuhta-|to chew the cud; to reflect; to reminisce (vb)
tyuxë|cud (n)
tyávelassë|spice; (lit.) taste-leaf (n)
tyávë|*taste (n)
tyéta-|to address somebody informally using tye (vb)
tyë|thee; you (familiar) (pron)
tá (adv)|then (adv)
tá (interj)|be silent; hush (interj)
tál (tal-)|bottom; foot; lowest part (n)
tálë|axe-blade (n)
táris(së)|queenship (n)
tári|mistress; queen (n)
tárië|height (n)
tárë|*that day (adv)
táva (n)|great tree (n)
téma|line; row; series (n)
térata-|to straighten (vb)
tératië|correction; (lit.) straightening (n)
téra|*correct; right; straight (adj)
tëalë|meaning (n)
tëangolmë|semantics (n)
tëa|road; straight line (n)
të|him (pron)
tírima|able to be watched; observable (adj)
tóle (tōli-)|central (adj)
tópa; túpelë; túpo|roof (n)
tótal|sock; (lit.) wool-foot (n)
tó|wool (n)
töa (adj)|of wool; woollen (adj)
töa (n)|wood (as material) (n)
töallë|blanket (n)
töasta|grove (n)
túlima|(worth bringing) bringable; able to be brought; worth bringing (adj)
túpelë|roofing; tiles (n)
túpo|cover; lid (n)
túra|great (adj)
túrë (Body Parts and Functions)|power; strength (n)
túrë (Warfare and Hunting)|mastery; power; strength; victory (n)
túrëa|*having political power; masterful (adj)
túto|3rd sg. masc. pronoun; they (emphatic) (pron)
túvima|discoverable (adj)
ufárëa|not enough (adj)
uhta-|to avoid as painful or nasty; to dislike; to feel disgust with (vb)
ui (adj)|*two (adj)
ui (interj)|it is n[ot]; no (interj)
ui-|to not do (vb)
uilë|long trailing plant (n)
uito|it is not that (interj)
uivi; yúyo|both (adj)
ul-|to rain (vb)
ulcarindo|evil-doer (n)
ulca|dark; evil; sinister; wrong (adj)
ulco (ulcu-)|evil (n)
ulculóra|without evil (adj)
ulma|*pitcher; flagon (n)
ulmula|mumbling (adj)
ulo (*ulu-); uquis (uquist-)|rain (n)
ulquet-|to accuse (vb)
ulquetië|accusation (n)
ulquéto|accuser (n)
ululla-|to keep on pouring (vb)
ulumpembë|caterpillar; (lit.) camel worm (n)
ulumpë|camel (n)
ulundië|monstrosity (n)
ulundo|deformed and hideous creature (n)
ulundë|flood (n)
uluntilla|camel’s hair (n)
uluswëa; ulwëa|alder-grown (adj)
uluswë|alder tree (n)
ulutelmë|rainshade; umbrella (n)
ulwenoitë|alderlike (adj)
ulwessë|alder-thicket (n)
ulwë nornelassëa|oakleaved alder (n)
ulya-|to pour (vb)
um-|to be not; to do not (vb)
uman|at one time (adv)
umbar (umbart-)|curse; doom; fate (n)
umbarwa|fateful (adj)
umba|swarm (n)
umbo(n)|clump; lump; mass (n)
umbë|imminence; premonition; unwelcome expectation (n)
umpano|build[ing] (n)
un-/um-|intensive prefix with evil sense (pref)
unca-|to hollow out (vb)
undalasar (undalasarn-)|stalactite; (lit.) down-growing stone (n)
unda|beneath; lower (adj)
undo|less (adj pron)
undulav-|to drown; to submerge; (lit.) to lick down (vb)
undumë|abyss (n)
undu|beneath; down; under (prep adv)
undómë|time near evening; twilight (n)
ungol|(monstrous) spider (n)
ungwalë|torture (n)
ungwë|spider’s web (n)
unqu-|to catch (fish); to catch in; to etc.; to hook into (vb)
unqualë|agony; death agony (n)
unquilla(r)|handle of jar; pothook (n)
unquë|cavity; hollow (n)
untup-|to cover (over or up); (lit.) to cover down (vb)
unutixë|dot or point placed below the line of writing (n)
uo|together (adv)
uphto|pit (n)
ur(u)-|difficult; hard (pref)
ur(u)ma|charcoal; coal (n)
urcarnë; urucárima|hard to make / do (adj)
urco (urcu-)|bogey; orc (n)
urda|arduous; difficult (adj)
urna|oven (n)
urpalda|stove plate (n)
urruxa|enraged; furious; incensed; livid; (lit.) hot-wroth (adj)
ursa- [þ]|to rage (vb)
urta-|to burn (vb)
urucarin|made with difficulty (adj)
uruhanyaima|complicated; cryptic; enigmatic; hard to understand (adj)
uruhta-|to (cause to) smoke; to belch smoke (vb)
urulanya|wick; (lit.) fire-thread (n)
urulócë|fire-dragon; fire-drake; fire-serpent (n)
urunótë|*difficult to count (adj)
urus (urust-)|copper (n)
urustamitta|copper-piece (n)
