(a)lá|yes (interj)
lóna|soaked, drenched (adj)
lónë|isle, [ᴹQ.] island, remote land difficult to reach (n)
lórelot|poppy, *(lit.) flower of sleep (n)
lórë|[ᴹQ.] slumber, *sleep; [Q.] dream (n)
lós|inflorescence, mass of flowers (n)
lótelas|petal, (lit.) flower-leaf (n)
lótëa|full of blossom, *blooming, flowering (adj)
lótë|flower, single blossom; ⚠️[ᴱQ.] bloom (n)
lóya-|to leave (something: a place, a thing) (vb)
ló|(away) from; by agent [of]; [ᴹQ.] ablative element (prep)
löacasta|season, (lit.) year-quarter (n)
löar|(golden) blossom (n)
löasta|season, (lit.) year-part (n)
löa|(seasonal) year, (lit.) (time of) growth, blooming (n)
lú(n)|*deep pool (n)
lúcëarwa|enchanting, attractive (adj)
lúma|clock (n)
lúmelissen|sometimes, at times (adv)
lúmequentalëa|historical (adj)
lúmincë|minute, moment (n)
lúmëa|pertaining to time, temporal (adj)
lúmë²|darkness (n)
lúmë¹|time, period of time, hour (n)
lúna|*dark (adj)
lúrëa|overcast, dark [of weather] (adj)
lúrë|dark weather, bad weather (n)
lúta-|to have time pass (vb)
lúva|bow (in forming tengwar), bight, bend, curve (n)
lúvo|greasy, fat (adj)
mac-|to hew (with a sword), *swing (a sword); ⚠️[ᴱQ.] to slay; to die (vb)
maca-|to forge (vb)
macar|swordsman; †forger (n)
macca|article (for exchange), ware, thing (n)
macilindil|gladiolus, (lit.) sword lily (n)
macil|sword, forged sword blade, cutting sword, [ᴱQ.] broadsword (n)
mahalma|throne (n)
mahar|tradesman, trader, merchant (n)
mahta-|to handle, wield, use, make use of; to manage, deal with, treat, control; [ᴹQ.] to wield a weapon, fight; to stroke, feel (vb)
mahtalë|fighting, battle (n)
mahtando|manager (n)
mahtasta|management (n)
mahtië|management, *handling (n)
mahtéma|tournament, tourney, (lit.) battle-series (n)
mahtë|hold, grip, *grasp; ⚠️power, possession (n)
mahtë|management (n)
mai-²|to have, possess (vb)
mai-¹|excellent, admirable; *well, happily (pref)
maicarindo|benefactor (n)
maicata-|to sharpen (vb)
maicatan|weaponsmith (n)
maica²|blade of a cutting tool or weapon (especially sword-blade) (n)
maica¹|sharp, piercing (adj)
maicámima|acceptable, (lit.) well-receivable (adj)
maicëa|edged (adj)
mailengaitë|well-mannered (adj)
mailitya|(greedily) wealthy, avaricious (adj)
maimun|monkey, ape (n)
maina|thing of excellence, treasure (n)
mainenta-|to brag, (lit.) make seem excellent (vb)
maira|admirable, excellent, precious, splendid, sublime (adj)
mairia|beautiful (of things made by art) (adj)
mairië|excellence, splendor, sublimity, ‘perfection’ (n)
mairëa|beautiful (of things made by art), *artistic (adj)
mairë|art, work of high and beautiful art, process of producing an art work (n)
maisinwa|well-known, notable, famous (adj)
maita-|to make with art, design, compose (vb)
maitalë|act of doing [artistic] work (n)
maitar|artist; poet (n)
maita|hungry (adj)
maitilë|skill, handicraft; legerdemain, sleight (n)
maitië|hunger (n)
maitulië|welcome thing, happy arrival (n)
maitulya|welcome (adj)
maitë|handy, skillful, [ᴹQ.] skilled; [Q.] shapely, well-shaped; (as suffix) having a hand, handed (adj)
maiwë|gull (n)
mai|well; ⚠️[ᴱQ.] too much (adv)
mal-|to crush, squeeze; to hurt, pain (cause pain to) (vb)
malaqua|soft, yielding, tender (of meat, substances, etc.) (adj)
malatsar|chrysolite (n)
malda-|to pound, ⚠️crush (vb)
malda|pulp, paste, mash, mush (n)
malda¹|yellow, of golden colour (adj)
maldorne|golden/yellow tree (n)
malicondëa|of amber (adj)
malicon|amber (n)
malina|yellow, of golden colour (adj)
malinornë|mallorn, (lit.) golden/yellow tree (n)
malma²|pulp, paste, mash, mush; dough, grume (n)
malma¹|lemon (n)
malo|moth (n)
maltaina|of gold (adj)
maltalos|buttercup (lit.) flower of gold (n)
malta|gold (metal), gold as material (n)
malumë²|sometimes, at times (adv)
malumë¹|when (adv)
mal|but (conj)
mamil|*mummy (n)
mammata-|to gorge (oneself), gobble up, [ᴹQ.] devour; [Q.] (lit.) to go on eating (vb)
manaitë|*blessed, having grace (adj)
manan|why (adv)
manaquenta|*blessed (adj)
mana|what; ⚠️[ᴹQ.] who (pron)
mancamen|market, (lit.) trade-place (n)
mancanómë|market, market-place (n)
mancaro|tradesman, trader, merchant (n)
manco|wares (n)
manda-|to imprison (vb)
mandanië|struggle, wrestling, (lit.) hand-resistance (n)
mandano|prisoner, (lit.) imprisoned-one (n)
mandontur|jailer (n)
mando|custody, safe keeping; prison, duress (n)
manen|how (adv)
mangwa|article for trading, goods (n)
manna|*blessed (adj)
manotë|how many, (lit.) what number (adv)
manta-|to bless (vb)
mantal|glove (n)
mantelë|gauntlet (n)
manwa|whose (adj)
manya-|to bless (vb)
manya|butter (n)
man|who; ⚠️[ᴹQ.] what (pron)
manë|good (moral, not evil) (adj)
mapalin|plane tree [Platinus], sycamore, (lit.) hand-flat (n)
maptalë|seizure; robbery by violence; rape, ravishment, forcible seizure and carrying off (n)
maquanotië|decimal system (n)
maqua|hand-full, group of five (similar) things; hand (colloquial); ⚠️closing or closed [hand] (facing down) for taking (n)
maquet-|*to question, ⚠️ask (vb)
maquetta|question (n)
mar(da)|dwelling, (great) house, residence, mansion, a thing or place dwelt in, ⚠️home; [ᴱQ.] world (n)
mar-|to abide, be settled or fixed, [ᴱQ.] dwell, live (vb)
mardaitë|homely, domestic (adj)
mardo|dweller (n)
marindo|settler (n)
marrum-|to move = change residence (vb)
marta-|to define, decree, destine; ⚠️[ᴱQ.] to happen (impers.), chance (vb)
martaman|dwelling-house (n)
martandë|decision (n)
martan|dwelling-house (n)
marto|fortune, fate, lot, luck (n)
marto|tower (n)
marya-|to found, establish, settle (as dwelling) (vb)
maryë|at home, *indoors (adv)
masematica|mathematics (n)
massa|bread (n)
massánië|Lady, breadgiver (n)
massë²|portion, share; capacity, [ᴹQ.] measure; the personal measure or capacity of a man, a talent; [Q.] †handful (n)
massë¹|bread (n)
mastacornë|[bread] loaf (n)
mastasan|kitchen (n)
masta|bread, cake, loaf, *baked good (n)
mastima|edible (adj)
mat-|to eat (vb)
matimar|restaurant, (lit.) eating hall (n)
matina|eaten (adj)
matta|food (n)
matya-|to feed (vb)
maura-|to need, require (vb)
mavaina|maple, (lit.) hand-clad (n)
mava|whose (adv)
maxa-|to cook (vb)
maxarma|software (n)
maxar|cook (n)
maxata-|to knead (vb)
maxon|mudstone (n)
maxo|mire, [ᴹQ.] sticky substance (n)
maxë|handiness (n)
maxë|sale (n)
ma²|interrogative particle (adv)
ma¹|something, a thing; ⚠️anything (pron)
mec-|to plead (vb)
mecin|please (adv)
mehar|gore (n)
mehta-|to aim at (vb)
mehtar|warrior (n)
mehtë|mark, aim, object (n)
mel-|to love (vb)
melda|beloved, dear, [ᴹQ.] sweet (adj)
meldo|friend, lover (n)
meldë|*friend (f.) (n)
melehta|mighty (adj)
melehtë|might, power (inherent) (n)
melehtë|might, power (inherent) (n)
melesellë|love-sister (n)
meletheldë|love-sister (n)
meletya-|to magnify (vb)
meletya|mighty (adj)
melima|[ᴹQ.] loveable, ⚠️fair; [Q.] loving, very affectionate (adj)
melinólë|philosophy (n)
mellaman|pet, (lit.) love-animal (n)
melmë|love (a particular case [between two people]) (n)
melotorno|love-brother (n)
melpo|gooseberry (n)
melta-|to enamour (vb)
melu-|to fall in love (vb)
melumatya|honey-eating (adj)
meluquetya|sweet-speaking person, flatterer (n)
melu|honey (n)
melya-|*to be in love (vb)
men-|to go, proceed, move (generally); ⚠️to come, arrive (vb)
mencë|thousand (cardinal)
mendar|station, (lit.) way-stop (n)
mendë|*will (n)
meneldil|astronomer, *(lit.) lover of the heavens (n)
menelluin|cornflower (colour), *(lit.) sky-blue (adj)
menelwa|heavenly (adj)
menel|the heavens, firmament, sky (n)
menemma|movie, motion picture (n)
menessë|instead, (lit.) in place (adv)
menesta²|motion, movement (n)
menesta¹|intention, *goal (n)
menta-²|have as object[ive], (in)tend, proceed, make for, go towards (vb)
menta-¹|to send, cause to go (in a desired direction) (vb)
menta|sending, message (n)
mentië|passage, journey, direction of travel (n)
menya|our (exclusive); [ᴺQ.] ours (pron)
men|way; [ᴹQ.] place, spot (n)
mer-|to hope, [ᴹQ.] wish, desire, want (vb)
merenya-|to be festive, celebrate (vb)
merillë|rose (n)
mermë|wish (n)
mestanyatsë|suffixion (n)
meter|*for (the purpose of), towards the end (prep)
metta|ending, end (n)
me|us (exclusive) (pron)
mica|*among (prep)
mici|among (prep)
micol-|to import (vb)
mildë|pea (n)
milla|oily (adj)
millo|oil (n)
millumë|once, one time (adv)
millë|?ring (n)
milpialda|olive tree (n)
milpio|olive, (lit.) oily-berry (n)
miltë|semen (n)
mimíre|very beautiful (adj)
mimírima|very beautiful (adj)
minassëa|inherent, innate, intrinsic (adj)
minassë|fort, city (with a citadel and central watch tower) (n)
minasurindo|researcher (n)
minasurië|enquiry, *research (n)
minatec-|to record, (lit.) into-write (vb)
minaxanwa|enchained, bound, fettered (adj)
mina|into, in, [ᴹQ.] to the inside (prep adv)
minaþurië|enquiry (n)
mindon|(lofty or isolated) tower; [ᴱQ.] turret (n)
mindë|turret (n)
mindórë|million (cardinal)
minima|special (positive) (adj)
minomë|instead, in place of, in exchange of (adv)
minquellumë|eleven times (adv)
minquesta|*one eleventh (fraction)
minquetyar-|to accentuate, (lit.) pronounce prominently (vb)
minquetyarmë|accentuation (n)
minquë|eleven (cardinal)
mintya-|to remind; ⚠️(impers.) it reminds me = I remember (vb)
minul(da)|ingot (n)
minya|first; eminent, prominent (ordinal adj)
min|one, [ᴱQ.] one (in a series), the first (cardinal)
miqu-|to kiss (vb)
miquelis|(soft, sweet) kiss (n)
miquelë|kissing (n)
miquë|kiss (n)
miriéla|?sparkling (adj)
mirmairë|jewelry, (lit.) jewel-art (n)
mirma|value, *price (n)
mirquet-|to persuade, (lit.) into-talk (vb)
mirquétala|persuasive (adj)
mirröanwë|incarnate (n)
mirta-|to value, esteem, treasure, cherish (vb)
mirucarnë|wine-red (adj)
mirumírë|amethyst, (lit.) wine-jewel (n)
mirupio|grape, (lit.) wine-berry (n)
miruvor|special wine or cordial (n)
miruvórë|mead, nectar, special wine or cordial, drink of the Elves, ⚠️(lit.) precious juice, [ᴱQ.] sweet drink (n)
miru|wine (n)
mirwa|precious, valuable (adj)
mirya|beautiful, lovely (of works of art only) (adj)
mirúva|like wine, winy (adj)
mistana|stray (adj)
mista|grey (adj)
mistë|drizzle, [ᴹQ.] fine rain (n)
mis|urine (n)
mitië|interior (n)
mitsavëo|micro-organism (n)
mitta-|to insert; [ᴹQ.] to come in, [ᴱQ.] enter (vb)
mittandë|infixion, intrusion, [ᴹQ.] insertion (n)
mittanya-|*to lead (into) (vb)
mittar(ë)|*entering (n)
mitta|[ᴹQ.] inwards, into, ⚠️[ᴱQ.] in;  [Q.] between (prep adv)
miura|cat (n)
miuro|cat (n)
miurë|cat (n)
miuya-|to cry, whine (vb)
mixa|sharp-pointed (adj)
mi|in, [ᴹQ.] within (prep)
miχa|sharp-pointed (adj)
moia-|to be afflicted, *be laboured; ⚠️to labour (vb)
moica|soft, gentle (adj)
mol-|to labour (vb)
molda|big, large (adj)
moleculë|molecule (n)
molindo|worker (n)
molië|labour, work (n)
mondo|ox (n)
morendë|midnight (n)
moricalca|obsidian, (lit.) black glass (n)
morilúpë|blackbird, (lit.) black plume (n)
morimaitë|black-handed (adj)
moritöa|ebony wood (n)
morna|black, dark; black of hair; [ᴹQ.] sombre, ⚠️gloomy (adj)
mornië|darkness, blackness (n)
mortavar|ebony, ⚠️ivory (n)
morteccon|graphite, (lit.) black writing rock (n)
morumbar|dark-fated (adj)
morë|dark, black; darkness, [ᴹQ.] blackness, [Q.] night (adj n)
motto|fen, marsh; [ᴹQ.] blot (n)
mo|one, anyone, someone, somebody (pron)
muhta-|*to defecate, empty bowels (vb)
mul-|to grind, *pulverize (vb)
mulda|powdery (adj)
mulessë|porridge (n)
mulmanen|mill (n)
mulmar|miller (n)
mulma|fine flour (n)
mulmin|mill (n)
mulondo|millstone (n)
mulë|meal, *grist, ground grains (n)
mundollë|calf (n)
mundo|bull, ox (n)
munta|nothing, *zero (n)
muqua|filthy (adj)
mussë|soft (adj)
mut|dirt, filth (n)
máfastië|hand-pleasure, writing for pleasure of hand and eye (n)
máhis|maize, either sweet corn or field corn (n)
málimë|wrist, (lit.) hand-link (n)
málo|friend, comrade (n)
málëa|healthy, healthful (adj)
málë|good health (n)
mámalin|sheepfold (n)
máma|sheep (n)
mánacestië|intercession, (lit.) boon-seeking (n)
mána|blessing, good thing; ⚠️[ᴹQ.] blessed (n)
máralë|goodness (n)
mára|good, proper; [ᴹQ.] useful, fit, good (of things), [ᴱQ.] excellent; ⚠️mighty, power, doughty (adj)
máriën|goodness (n)
márië|well, happily; goodness, good estate, being well, happiness (adv n)
már|home, dwelling, habitation; ⚠️[ᴹQ.] house; earth (n)
márë|(moral) good, goodness (n)
mátengwië|language of the hands (n)
mátima|edible (adj)
má|hand (n)
mélacárië|pastime, hobby (n)
mélamar|(emotional) home (n)
méla|loving, affectionate (adj)
mélië|*love, loving (n)
mén|beak, ⚠️nose (n)
métima|last, ultimate, final (adj)
mína-|to desire to go in some direction, wish to go to a place, make for it; to have some end in view, *intend (vb)
mína|desiring to start, eager to go (adj)
míra|beautiful, lovely (adj)
mírima|very valuable, very precious, very lovely (adj)
mírëa|jewelled, *gemmed (adj)
mírë|jewel, gem, precious thing, treasure; precious (n adj)
mísë|(light) grey (adj)
móletyeller|career, (lit.) work-steps (n)
mólië|slavery, thralldom (n)
mól|slave, [ᴹQ.] thrall (n)
mólë|labour, *work (n)
mólë|labour, *work (n)
móna|*womb (n)
mórilanta|nightfall (n)
móriva|nocturnal (adj)
mórolingwe|squid, (lit.) ink-fish (n)
móro|ink (n)
mótamen|office (n)
mótaro|worker (n)
möa|must (impersonal) (vb)
múco|dung, *manure, muck (n)
na-²|infinitive prefix (pref)
na-¹|plu- (pref)
nac-|to hew [into], cut; ⚠️[ᴹQ.] to slay, kill; to hate (vb)
nacca|narrows, defile, pass, cut (n)
nacil|victor (n)
nahta-²|to confine, oppress (vb)
nahta-¹|to slay; ⚠️[Q.] to hurt, injure, wound; [ᴱQ.] slay cruelly (vb)
nahtalë|slaughter (n)
nahtana|*slain (adj)
nahtar|slayer, murderer (n)
nahte|wounding, wound (n)
nai-|ill, grievously, abominably (pref)
naicando|*sinner (n)
naica|bitterly painful or grievous (adj)
naico|*sinner (n)
naico|goat (n)
nainaima|lamentable (adj)
nainala|lamenting (adj)
nainalindë|dirge, (lit.) lament-song (n)
nainima|lamentable (adj)
nainië|lament, *lamentation (n)
naiqua-|*to sin (vb)
naiquet-|to curse or blaspheme (vb)
naiquéto|blasphemer (n)
naira²|dreadful, horrible, unendurable, [ᴱQ.] dire, grievous (adj)
naira¹|vast, wide, empty (adj)
nairenyanna|unfortunately, (lit.) to my sadness (adv)
nairë|space (as a physical dimension) (n)
naita-|to oppress, cause great grief to (vb)
naitië|indeed, truly, *really (adv)
naitya-|to put to shame, abuse, *rebuke; ⚠️to damage, hurt (vb)
naityalë|shame (n)
naityana|shamed, ashamed (adj)
naitë|true (adj)
nai|maybe; be it that, may it be that; perhaps, it may be, there is a chance or possibility; ⚠️[ᴱQ.] remoter possibility (adv)
nalanta-|to attack, (lit.) fall upon (vb)
nalda|bright, polished (of metal) (adj)
nallamya-|to echo, sound back, reverberate (vb)
nalma|reflector, mirror (n)
naltalma|heliograph (n)
nalta|radiance, glittering reflection (n)
nalumë|sometime(s) (adv)
nam-|to judge, *think (have as an opinion) (vb)
nambírë|jasper (n)
nammar|court, courthouse, (lit.) judgment-house (n)
namma|claw, talon (n)
namnasta|regulations (n)
namna|statute, *law (n)
namoia-|to work (hard) for; to earn (vb)
nampaitya-|to pay back (vb)
nampaityalë|paying back, *restitution (n)
namárië|farewell, (lit.) be well, let it be well (to you) (interj)
nan(do)|(wide) valley, vale; ⚠️[ᴹQ.] water-mead, watered plain; [ᴱQ.] woodland (n)
nan-|back (again); [ᴹQ.] backwards (pref)
nananta-|to give back, *return [something] (vb)
nancal-|to reflect, (lit.) shine back (vb)
nancam-|to receive back (vb)
nancar-|to undo, *destroy (vb)
nancarindo|destroyer (n)
nancarpa-|to talk back (vb)
nanca|*hewn, ⚠️slain (adj)
nancárima|destructible (adj)
nancáro|destroyer (n)
nanda²|vale (wide) (n)
nanda¹|?back (adj)
nandë|valley (n)
nangwesa|answer (n)
nangwë|victory (n)
nanhalya-|to unveil, reveal (vb)
nanhanquet-|to answer back (vb)
nanhat-|to cast back, reflect (vb)
nannem-|to disappear (vb)
nanomë|someplace, somewhere (adv)
nanquer-|*to turn back (vb)
nanquer-|to turn back, turn around (vb)
nanquet-²|to answer (vb)
nanquet-¹|to talk back, speak against (vb)
nantar-|to stand back (vb)
nanwavë|truly, actually (adv)
nanwa²|(large) bowl (n)
nanwa¹|existing, actual (true), *real; ⚠️[️ᴱQ.] being (adj)
nanwen-|to return, go/come back (vb)
nanwenda|ransom (n)
nanwenta-|to send back (vb)
nanwera|ransom (n)
nanwerë|ransom (n)
nanwië|reality (n)
nanwë|ebb, lowtide (n)
nanya-|to struggle, oppose, resist (vb)
nanyalë|resistance, opposition (n)
nan|valley, vale (n)
nap-|to take (hold), pick up, grasp (with fingers) (vb)
napan-|to add (vb)
nappa|claw, talon (n)
naqui|although, even though, (lit.) if it is in fact (conj)
narambo|bang, buffet (n)
narassë|pasture (n)
narasta-|to pasture, *graze, give to feed (vb)
narca|snappy, ill-tempered (adj)
narcë|*rend, tear; [ᴱQ.] snap of a dog; spiteful remark (n)
narrundo|torch (n)
nartaima|inflammable (adj)
nartanwë|firework (n)
narwa|ruddy, red of hair (adj)
nas-|to welcome, ⚠️accept (vb)
nasal|guest (n)
nasarta-|to entrust (vb)
nasquë|bondage, durance (n)
nassëa²|natural (adj)
nassëa¹|spiked, pointed, barbed (adj)
nassë|nature, true-being, *essence; ⚠️person, individual; material (n)
nastalaima|thistle, (lit.) spear plant (n)
nastaro|scorpion (n)
nastyapsul|turnip, (lit.) prickly/stingy/sharp tasting root (n)
nasumo|guest, visitor (n)
natsemen|website, (lit.) web-spot (n)
nattir-|to look back (vb)
nattira-|to despise (vb)
natto|affair, matter, ⚠️thing (n)
nattírima|despicable (adj)
nat|thing (n)
nauca|stunted, shortened, dwarf(ed) (adj)
naucon|Dwarf (n)
nauco|dwarf (n)
naumë|falsehood (n)
nauna-|to howl (vb)
nauna|false (adj)
naunië|falsehood (n)
nauro|werewolf, wolf (not wild wolves) (n)
nauta-²|to conceive (vb)
nauta-¹|to falsify (vb)
nauya-|to conceive [of an idea] (vb)
nav-²|to try (vb)
nav-¹|to judge, think [have as an opinion] (vb)
naxa|sour (adj)
naxa²|evil (adj n)
naxa¹|bond, fetter (n)
na|to, towards (prep)
ne(re)sta|one ninth (fraction)
nec-|without (pref)
neccë|angle (n)
necel|thorn (n)
necermëa|insubstantial, immaterial (adj)
necestel|hopelessness, despair, desperation (n)
nef-|to breathe (air) (vb)
nefítë|air-breathing (adj)
nehta-|to deprive (vb)
nehtano|one deprived, exile whose rights and goods have been confiscated (n)
nehtar|slayer (n)
nehtelë|honeycomb (n)
nehtë²|honey; ⚠️[ᴹQ.] honeycomb (n)
nehtë¹|spearhead, gore, wedge, narrow prominitory; angle (n)
nel(d)esta|one third (fraction)
nelca|dense (adj)
neldëa|third (ordinal)
neldë|three; ⚠️[ᴱQ.] four (cardinal)
nelecco|fork, (lit.) three-thorn (n)
nelequain|thirty (cardinal)
nelequëan|thirty (cardinal)
nellon|granite, (lit.) tri-rock (n)
nellumë|thrice, three times (adv)
nelmasirpë|thistle, (lit.) needle-stalk (n)
nelma|needle (n)
nelquain|thirty (cardinal)
nelqua|cornered, *angled (adj)
nelquesta|one thirteenth (fraction)
nelquëa|*thirteenth (ordinal)
nelquë|*thirteen (cardinal)
nelsat|one third (fraction)
nelta|one third (fraction)
neltë|corner (n)
nelya-|to thicken, congeal (vb)
nelya-|to thicken, congeal (vb)
nelya|third (ordinal)
nem-²|[ᴹQ.] to seem, appear (vb)
nem-¹|to judge (vb)
nembalë|evidence (n)
nemba|seeming, evident, probably but not necessarily so (adj)
nemesta|appearance, seeming (n)
nendalaurë|golden water-flower, yellow iris (n)
nenda|wet (adj)
nendil|beast that lives in the water (n)
nendo|water mead, *watered plain (n)
nendë|lake, [ᴹQ.] pool (n)
nengarmo|otter, (lit.) water-wolf (n)
nenquet-|to condescend, (orig.) speak down the nose (vb)
nenta-|to pretend, (lit.) make seem (vb)
nenungol|octopus, (lit.) water-spider (n)
nenya|wet (adj)
nen|nostril (n)
nerca|sharp, angular (adj)
nercë|little man (n)
nerdo|large, strong man (n)
nernehta|man-spearhead (n)
nersat|one ninth (fraction)
nertëa|ninth (ordinal)
nertë|nine (cardinal)
nessamelda|species of tree in Númenor, (lit.) beloved of Nessa (n)
nesselë|pasture, mead[ow]; pasturage (n)
nessornë|sapling (n)
nessë|past tense, (lit.) nē-ness (n)
nesta-²|to heal (vb)
nesta-¹|to graze, pasture, give to feed, feed (vb)
nestando|healer, physician (n)
nestië|(act of) feeding (n)
nesya|gay, lively, girlish (adj)
nes|food, feed, fodder (n)
net(ë)|one more beyond (the middle) (n)
net-|to get (vb)
neterquain|ninety (cardinal)
neterquëan|ninety (cardinal)
neterquëa|nineteenth (ordinal)
neterquë|nineteen (cardinal)
netil|trinket, small thing of personal adornment (n)
netsë|little sister, ‘lil sis’ (intimate) (n)
netto|big sister, ‘big sis’ (intimate) (n)
nettë|(little) girl, ⚠️sister (diminutive), ️daughter, pretty little thing (n)
netya-|to trim, adorn (vb)
netya|pretty, dainty (adj)
nev-|to face, turn toward, *confront (vb)
nev-|to try, *seek opportunity, experiment (vb)
nevië|experiment (n)
nexa|sharp, angular (adj)
nicu-|to be chill, cold, freeze (of weather), snow (vb)
nicë|little, a bit (adv)
nienaitë|tearful (adj)
nieninquëa|like a snowdrop (adj)
nieninquë|snowdrop, [ᴹQ.] (lit.) white tear (n)
nieres|hive (n)
nier|(honey) bee (n)
nihta-|to reduce, make small (vb)
nihtana|reduced, minor (adj)
nihta|piece, bit (of indeterminate size) (n)
nihtil|little [finger] (n)
nil-|to love, have special concern/care/interest for (vb)
nillë²|small [woman] (n)
nillë¹|silver glint; Valinorian imagines [images of real stars] (n)
nilmë|love, concern for things other than self for their own sakes (n)
nimba-|to face, go forward (vb)
nimba|facing, confronting (adj)
nimbë|gloom, sadness (n)
nimpa|drooping, ailing (adj)
nimulë|phantom, a seeming (n)
ninda|wet (adj)
nindornë|palm-tree (n)
ninquelë|pallor (n)
ninquima|frankincense (n)
ninquita-|to whiten, grow white, [ᴹQ.] make white; to shine white (vb)
ninquë|white; chill, cold; pallid (adj)
ninteccon|chalk, (lit.) white writing rock (n)
niqu-|to be chill, cold, freeze (of weather), ⚠️snow (vb)
niquessë|frost-patterns; snowflake, ice-flake; (lit.) chill feather (n)
niquis|snowflake, ice-flake; petal (loose) of a white flower; ⚠️frost-patterns, [ᴱQ.] snow (n)
niquë|cold; ⚠️[ᴹQ.] snow (n)
nir-|to press, thrust, force (in a given direction); *to impose (with allative) (vb)
nirmunqua|willful (adj)
nirmë|act of will, exercise of will (n)
nirya-|to lean against (vb)
nis-|*to smell sweetly (vb)
nisilëa|perfumed (adj)
nisilë|fragrance, perfume (n)
nisquë|incense, *(lit.) sweet smoke (n)
nissë|woman (n)
nista-|to perfume (vb)
nista|thrust, push, shove (n)
nisto|large woman (n)
niswa|censer (n)
nityahan|little brother (informal/familiar) (n)
nityanet|little sister (informal/familiar) (n)
nitya|little (adj)
nixë|frost; ⚠️ice-flake or snow-flake (n)
ni|me, I (pron)
niétë|oozing, dripping, exuding (n)
noirë|tomb (n)
nollo|already (adv)
nolmar|school, university, (lit.) wisdom-house (n)
nolmo|wise person (n)
nolmë|knowledge, philosophy (including science), department of wisdom (science, etc.) (n)
nolpa|mole (n)
nolta-|to teach, *educate, tutor, (lit.) make knowledgable (vb)
noltar|teacher (n)
nolya-|to study, ⚠️learn (vb)
nolya|dark-haired, *brown-haired (adj)
nonda|hand especially in (?clutching) (n)
nonwa|computer, (lit.) implement for reckoning (n)
nonwë|calculation, sum (n)
nonwë|calculation, sum, *total (n)
nonóra-|to run on, run smoothly and hum, *keep on running (especially of machines) (vb)
nor-²|fear (pref)
nor-¹|to run (or leap, of animals or men) (vb)
nordo|oak (n)
noremmatan|cartographer (n)
noremma|map (n)
norië|running, ⚠️race (n)
normë|race (running) (n)
norna|tough, stiff; hard, firm, resistant; thrawn, obdurate (adj)
nornolassëa|having oak-leaves (adj)
norno|oak (n)
noroitë|(capable of) running (adj)
norolinda|*tripping lightly (adj)
norollë|cart (n)
norta-|to make run (specially used of riding horses or other animals), ride (vb)
norta-|to stay (vb)
nortil|cape (of land) (n)
nos(së)|kindred, family, [ᴹQ.] clan, ‘house’, ⚠️[ᴱQ.] folk, kin, people (n)
nossetur|patriarch, family head (n)
nosta-|to beget, [ᴱQ.] give birth to; [Q.] to be begotten, *be born [impersonal]; ⚠️[ᴱQ.] to cause (vb)
nostalë|species, kind, *type, sort; ⚠️nature (n)
nostarenca|orphaned, (lit.) parent-less (adj)
nostar|*ancestor; ⚠️parent, begetter (n)
nostarë|birthday (n)
nosta|birth, ⚠️birthday (n)
not-|to count, [ᴹQ.] reckon (vb)
notessëa|numeral, digital (adj)
notessë|numeral (n)
notil|calculator (n)
notto|*enemy (n)
nuhta-|to stunt, prevent from coming to completion, stop short, not allow to continue (vb)
nuinerocco|hippopotamus, (lit.) river-horse (n)
nuinë|river (suf)
numba|bent, humped (adj)
numbëa|timid (adj)
numbë|timidity (n)
nungwë|cold (in the nose or head) (n)
nunya|lower (as in quality, rank or value) (adj)
nupattal|horseshoe (n)
nuqua|obstacle (n)
nuquerna|reversed, inverted, *(lit.) under-turned (adj)
nur-|to serve (vb)
nurda|cord, rope (n)
nurmea|subordinate, lesser (adj)
nurmë|subordination (n)
nurno|dark, deep (of hue) (adj)
nurru-|to murmur, grumble, mumble (vb)
nurrulë|murmuring (n)
nurta-|*to hide (vb)
nurtalë|hiding (n)
nurunyel|foxglove, (lit.) death-bell (n)
nur|complaint, ⚠️growl (n)
nustaima|odorous, (lit.) able to be smelled (adj)
nustë|sense of smell (n)
nus|smell (n)
nutanwë|infrastructure (n)
nutta|comma, (lit.) that what ties or binds (together) (n)
nuxo|Petty dwarf (n)
nu|under, beneath (prep)
nwal-|to suffer, feel (great) pain (vb)
nwalmastarmo|martyr, (lit.) torment-witness (n)
nwalmë|torment (n)
nwar-|to fret, wear away, [ᴹQ.] erode; to gnaw (vb)
nwámë|wolvish howling (n)
nwátengwë|irony, (lit.) disguise-token (n)
nyaira|claim (n)
nyanda-|to gnaw (vb)
nyar-|to relate, recite, [ᴹQ.] tell, ⚠️talk (vb)
nyarda-|to preach (vb)
nyardar|preacher (n)
nyarda|list, (lit.) product of recitation (n)
nyarmë|storytelling (general/abstract) (n)
nyarnamaitar|storyteller, composer of long epic tales, *author (n)
nyarna|(long epic) tale, story, legend, [ᴹQ.] saga (n)
nyarrincë|mouse (n)
nyarvëa|fictional (adj)
nyarvë|fiction (n)
nyas-|to scratch (vb)
nyasta|snack (n)
nyas|scratch, score, line, mark (n)
nyat-|to talk idly, *gossip, chat (vb)
nyatil|idle talk, gossip (n)
nyatso|magpie, (lit.) chatterer (n)
nyel-|to chime, to ring (like a bell) (vb)
nyelecca|onyx (n)
nyelet|nail (of the finger) (n)
nyellë|[ᴹQ.] bell, ⚠️[Q.] small bell (n)
nyenya|querulous, tearful, plaintive (adj)
nyenyë|weeping (n)
nyárë|history, account, [ᴹQ.] tale, saga (n)
nyéni|(she) goat (n)
